accession	genome	Source	GC_pct	completeness	contamination	checkM2.completeness	checkM2.contamination	primary_cluster	secondary_cluster	length	N50	gtdb_taxonomy	ncbi_isolation_source	ncbi_genome_category	gtdb_representative	ncbi_refseq_category	MAG_source	fBAPS_l1	fBAPS_l2	Study	Age_BP	Continent	Country	sample_host	classification	Host	GUNC.n_contigs	checkM.N50_contigs	QUAL
	SRS15300805.bin.r.19	oral		71.27	1.42			16	16_3	710250	3571	g__Eubacterium_N;s__					Ancient			Honap2023	700	North America	USA	Homo		Human			
	ERSX0003002.bin.r.27	oral		76.18	0.83			16	16_4	827947	8075	g__Eubacterium_N;s__					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	ERSX0003003.bin.r.12	oral		87.71	2.26			16	16_5	1015822	26593	g__Eubacterium_N;s__					Ancient			SMH2023	700	Europe	Germany	Homo		Human			
	ERS6636090.bin.r.4	oral		62.85	3.78			16	16_6	721000	2347	g__Eubacterium_N;s__					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	ERS6636099.bin.r.8	oral		64.31	2.62			16	16_6	727434	2722	g__Eubacterium_N;s__					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	SRS7212803.bin.r.2	oral		69.6	2.72			16	16_7	841447	2608	g__Eubacterium_N;s__					Ancient			Jacobson2020	3600	Europe	Italy	Homo		Human			
	ERS6636154.bin.r.5	oral		80.19	1.65			16	16_8	970292	3464	g__Eubacterium_N;s__					Ancient			Fagernas2022	4700	Europe	Spain	Homo		Human			
	SRS9263818.bin.r.5	oral		57.91	1.09			16	16_9	644997	2034	g__Eubacterium_N;s__					Ancient			Modi2021	3400	Europe	Italy	Homo		Human			
	ERSX0004009.bin.r.9	oral		73.4	1.11			17	17_1	746643	7220	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	ERS12516936.bin.r.32	oral		80.26	2.01			17	17_10	878420	12669	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516978.bin.r.36	oral		85.93	0.95			17	17_11	981878	46699	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516970.bin.r.144	oral		87.71	0.71			17	17_12	1059271	140532	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
GCA_000161975.1	GCA_000161975.1_ASM16197v1_genomic	none	40.5615116998509	88.42	0.71			17	17_13	1084901	1084901	g__Eubacterium_N;s__Eubacterium_N saphenum	none	none	t	na	NCBI isolate												
	SEQF1017.1	oral		88.42	0.71			17	17_13	1084901	1084901	g__Eubacterium_N;s__Eubacterium_N saphenum					HOMD			HOMD	7	North America	USA	Homo		Human			
GCA_905372295.1	GCA_905372295.1_SRR9217404-mag-bin.16_genomic	none	41.0153045151955	56.94	0.71			17	17_14	577738	5651	g__Eubacterium_N;s__Eubacterium_N saphenum	not provided	derived from metagenome	f	na	NCBI MAG												
	CM_periimplantitis__SP_184SPT_T016__bin.9	oral		66.4893617	0.709219858			17	17_14	709358	4930	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			CM_periimplantitis	7	Europe	Italy	Homo		Human			
	MGYG000298139	oral		56.94	0.71			17	17_14	577738	5651	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			ERP127228	7	Europe	Italy	Homo		Human			
	ERS3395771.bin.r.11	oral		67.23	0.89			17	17_15	655478	3375	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS3395772.bin.r.25	oral		83.1	0.71			17	17_16	957184	7506	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS2985743.bin.r.19	oral		57.91	4.45			17	17_17	678464	2284	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985785.bin.r.5	oral		53.93	1.42			17	17_18	520326	2047	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS6205395.bin.r.12	oral		59.18	1.06			17	17_19	619756	4339	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERSX0004011.bin.r.11	oral		61.96	0.71			17	17_2	609750	2966	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			PacificCalculus	350	Oceania	Rapa_Nui	Homo		Human			
	SRS15300788.bin.r.8	oral		76.9	2.88			17	17_20	808246	3833	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Honap2023	700	North America	USA	Homo		Human			
	ERS11702771.bin.r.6	oral		79.2	3.21			17	17_21	958383	6745	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702777.bin.r.5	oral		64.14	3.44			17	17_22	774855	2742	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERSX0002001.bin.r.6	oral		65.63	2.01			17	17_23	612847	7326	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			RIII2023	700	Europe	Great Britain	Homo		Human			
	ERSX0004058.bin.r.5	oral		52.82	1.44			17	17_24	542577	1925	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			PacificCalculus	400	Asia	Taiwan	Homo		Human			
	ERS11702742.bin.r.3	oral		53.01	1.65			17	17_25	600502	2348	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702731.bin.r.9	oral		62.62	1.42			17	17_26	647822	3933	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	500	Europe	Spain	Homo		Human			
	ERS11702789.bin.r.1	oral		65.11	1.58			17	17_27	740165	5567	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985784.bin.r.17	oral		62.87	3.39			17	17_28	703371	4680	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702809.bin.r.5	oral		75.89	2.56			17	17_29	877996	5252	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS12516967.bin.r.61	oral		87.71	0.71			17	17_3	1022787	82816	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS11702747.bin.r.2	oral		51.59	0.91			17	17_30	575500	2017	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS6205393.bin.r.10	oral		66.73	1.77			17	17_31	707785	3232	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Granehall2021	1300	Europe	Italy	Homo		Human			
	ERS11702776.bin.r.8	oral		67.59	3.19			17	17_32	877131	2900	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702769.bin.r.1	oral		65.37	2.68			17	17_33	660490	2312	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985742.bin.r.6	oral		53.75	2.9			17	17_34	617867	3459	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985775.bin.r.10	oral		89	2.9			17	17_35	903713	5392	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702801.bin.r.8	oral		84.52	3.01			17	17_36	1004261	19707	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985776.bin.r.14	oral		56	4.48			17	17_37	633175	2506	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS11702774.bin.r.7	oral		70.73	1.75			17	17_38	808632	3908	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	CM_periimplantitis__SP_323SPI_T016__bin.10	oral		52.26359338	0.709219858			17	17_39	538884	3030	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			CM_periimplantitis	7	Europe	Italy	Homo		Human			
	ERS12516969.bin.r.8	oral		81.85	3.19			17	17_4	860689	6102	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS11702739.bin.r.4	oral		83.1	3.07			17	17_40	921735	5093	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985750.bin.r.17	oral		87	1.83			17	17_41	1032860	27991	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS3395767.bin.r.17	oral		83.81	0.73			17	17_42	961466	7353	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	CM_periimplantitis__SP_304SPI_T016__bin.13	oral		63.17966903	1.418439716			17	17_43	590846	3428	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			CM_periimplantitis	7	Europe	Italy	Homo		Human			
	ERS11702732.bin.r.1	oral		70.03	1.68			17	17_44	738166	3386	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2022	500	Europe	Spain	Homo		Human			
	ERS2985770.bin.r.13	oral		85.93	4.61			17	17_45	1014966	11677	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985773.bin.r.3	oral		85.04	2.17			17	17_46	995836	12775	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	SRS473746.bin.r.45	oral		84.87	3.55			17	17_47	898372	15746	g__Eubacterium_N;s__Eubacterium_N saphenum					Ancient			Warinner2014	900	Europe	Germany	Homo		Human			
	ERS3774485.bin.r.30	oral		80.79	0.71			17	17_48	866904	4223	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	ERS12516973.bin.r.10	oral		88.42	0.71			17	17_49	1052245	322306	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516962.bin.r.59	oral		67.83	1.28			17	17_5	781869	4334	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516939.bin.r.19	oral		57.49	0.59			17	17_50	540663	3176	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516941.bin.r.20	oral		52.42	0.78			17	17_51	599293	2337	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516986.bin.r.5	oral		70.02	1.77			17	17_52	756004	2962	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	CMC038.A.bin.r.47	oral		78.16	0			17	17_6	847933	17449	g__Eubacterium_N;s__Eubacterium_N saphenum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC038.B.bin.r.107	oral		61.78	1.72			17	17_7	612330	4839	g__Eubacterium_N;s__Eubacterium_N saphenum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	ERS12516951.bin.r.9	oral		72.65	1.3			17	17_8	804030	5476	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	ERS12516980.bin.r.23	oral		71.39	0.53			17	17_9	781715	3732	g__Eubacterium_N;s__Eubacterium_N saphenum					Modern			Pedro2022	7	Oceania	Papua New Guinea	Homo		Human			
	CMC018.B.bin.r.106	oral		83.22	0.71			18	18_0	932041	15899	g__Eubacterium_N;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
GCA_002385825.1	GCA_002385825.1_ASM238582v1_genomic	environmental	46.61857692223	80.56	2.48			19	19_1	1795772	14865	g__UBA1426;s__UBA1426 sp002385825	anaerobic digester	derived from metagenome	t	na	NCBI isolate												
GCA_003445605.1	GCA_003445605.1_ASM344560v1_genomic	environmental	47.2311128217075	55.57	0.12			19	19_1	1197565	7524	g__UBA1426;s__UBA1426 sp002385825	anaerobic digester	derived from metagenome	f	na	NCBI isolate												
GCA_012521055.1	GCA_012521055.1_ASM1252105v1_genomic	environmental	46.6178672502516	95.74	1.06			19	19_2	1938821	14879	g__UBA1426;s__UBA1426 sp002385825	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	f	na	NCBI isolate												
GCA_012523915.1	GCA_012523915.1_ASM1252391v1_genomic	environmental	37.519168503937	94.68	0.5			20	20_0	1984375	11504	g__JAAYHT01;s__JAAYHT01 sp012523915	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	t	na	NCBI isolate												
GCA_012735285.1	GCA_012735285.1_ASM1273528v1_genomic	environmental	37.9850304900819	92.11	0.71			21	21_0	1981628	7796	g__JAAYHT01;s__JAAYHT01 sp012735285	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	t	na	NCBI isolate												
GCA_002455605.1	GCA_002455605.1_ASM245560v1_genomic	environmental	38.6067058567548	90.39	0.71			22	22_1	2687481	11266	g__Aminipila;s__Aminipila sp002455605	wood	derived from metagenome	t	na	NCBI isolate												
GCA_015058235.1	GCA_015058235.1_ASM1505823v1_genomic	gut	38.4364710119363	96.45	1.06			22	22_1	3265354	129758	g__Aminipila;s__Aminipila sp002455605	feces	derived from metagenome	f	na	NCBI isolate												
GCF_004103735.1	GCF_004103735.1_ASM410373v1_genomic	environmental	42.5871161489277	99.29	0.35			23	23_0	2750839	2750839	g__Aminipila;s__Aminipila luticellarii	pit mud	none	t	representative genome	NCBI isolate												
GCF_010120715.1	GCF_010120715.1_ASM1012071v1_genomic	environmental	36.9765835592944	96.45	0.35			24	24_0	3512404	3512404	g__Aminipila;s__Aminipila terrae	sediment	none	t	representative genome	NCBI isolate												
GCF_010669305.1	GCF_010669305.1_ASM1066930v1_genomic	environmental	44.8524355975338	98.58	1.06			25	25_0	3334849	3334849	g__Aminipila;s__Aminipila butyrica	methanogenic reactor treating waste	none	t	representative genome	NCBI isolate												
GCF_017255415.1	GCF_017255415.1_ASM1725541v1_genomic	environmental	39.9976639781706	98.94	1.77			26	26_0	3219148	465412	g__Aminipila;s__Aminipila aminobutyrica	mud	none	t	representative genome	NCBI isolate												
	CMC024.B.bin.r.104	oral		91.6	2.84			27	27_1	1291122	8687	g__RUG100;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC035.B.bin.r.102	oral		74.48	1.72			27	27_1	1233105	8949	g__RUG100;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	ERS11702770.bin.r.3	oral		83.23	2.01			27	27_1	1149812	4519	g__RUG100;s__					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS11702787.bin.r.5	oral		82.09	3.84			27	27_1	1132164	3285	g__RUG100;s__					Ancient			Velsko2022	200	Europe	The Netherlands	Homo		Human			
	ERS2985743.bin.r.2	oral		67.12	1.44			27	27_1	1028883	2550	g__RUG100;s__					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985750.bin.r.8	oral		96.45	1.42			27	27_1	1573092	35427	g__RUG100;s__					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985754.bin.r.4	oral		68.78	1.32			27	27_1	972269	2502	g__RUG100;s__					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS2985769.bin.r.9	oral		70.99	0.73			27	27_1	1053020	3832	g__RUG100;s__					Ancient			Velsko2019	200	Europe	England	Homo		Human			
	ERS3395773.bin.r.21	oral		67.07	0.26			27	27_1	917271	3435	g__RUG100;s__					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS3774402.bin.r.1	oral		60.17	2.2			27	27_1	718609	1949	g__RUG100;s__					Ancient			FellowsYates2021-nonhumanDNA	200	Africa	Cameroon	Gorilla		Other			
	ERS3774485.bin.r.23	oral		87.62	1.61			27	27_1	1114381	3783	g__RUG100;s__					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	ERSX0002001.bin.r.10	oral		73.37	0			27	27_1	1123343	5490	g__RUG100;s__					Ancient			RIII2023	700	Europe	Great Britain	Homo		Human			
	SRS15300800.bin.r.7	oral		78.46	2.48			27	27_1	1023144	2700	g__RUG100;s__					Ancient			Honap2023	700	North America	USA	Homo		Human			
	SRS473746.bin.r.44	oral		81.38	2.6			27	27_1	1095755	4470	g__RUG100;s__					Ancient			Warinner2014	900	Europe	Germany	Homo		Human			
	CMC018.B.bin.r.155	oral		51.76	0.09			27	27_2	582121	1805	g__RUG100;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC026.B.bin.r.86	oral		60.49	1.24			27	27_2	805315	2078	g__RUG100;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	ERS3395772.bin.r.2	oral		63.32	2.29			27	27_2	826166	2207	g__RUG100;s__					Modern			Velsko2019	7	Europe	Spain	Homo		Human			
	ERS3774489.bin.r.17	oral		94.44	1.06			27	27_2	1366677	12534	g__RUG100;s__					Modern			FellowsYates2021	7	Europe	Spain	Homo		Human			
	CMC022.B.bin.r.13	oral		86.71	2.13			28	28_0	1136488	4420	g__RUG100;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	SRS4625245.bin.r.22	oral		85.37	3.19			29	29_0	1379693	7680	g__RUG100;s__					Ancient			Ozga2019	100	Africa	Tanzania	Pan		Chimpanzee			
	SRS4625245.bin.r.16	oral		92.97	2.48			30	30_0	1491090	21895	g__RUG100;s__					Ancient			Ozga2019	100	Africa	Tanzania	Pan		Chimpanzee			
	CMC024.B.bin.r.41	oral		53.74	0.95			31	31_1	604914	2091	g__UBA1764;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC038.B.bin.r.123	oral		62.85	0.78			31	31_1	761158	2692	g__UBA1764;s__					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
GCA_002329675.1	GCA_002329675.1_ASM232967v1_genomic	environmental	46.493552727046	81.74	0.71			32	32_1	2228566	12589	g__UBA1426;s__UBA1426 sp002329675	closed biodigester	derived from metagenome	t	na	NCBI isolate												
GCA_012719215.1	GCA_012719215.1_ASM1271921v1_genomic	environmental	46.481552484215	90.98	2.91			32	32_2	2430788	5684	g__UBA1426;s__UBA1426 sp002329675	anaerobic digestion of organic wastes under variable temperature conditions and feedstocks	derived from metagenome	f	na	NCBI isolate												
GCA_019416225.1	GCA_019416225.1_ASM1941622v1_genomic	gut	45.3446268545122	95.04	0			33	33_1	1497968	141459	g__Mogibacterium;s__Mogibacterium timidum	feces	derived from metagenome	f	na	NCBI isolate												
GCA_905373865.1	GCA_905373865.1_SRR9217490-mag-bin.8_genomic	none	45.3005606272481	98.58	0			33	33_1	1564676	96975	g__Mogibacterium;s__Mogibacterium timidum	not provided	derived from metagenome	f	na	NCBI MAG												
GCF_000293155.1	GCF_000293155.1_MspCM50v1.0_genomic	environmental	44.1765866764662	98.58	0			33	33_1	1888523	113647	g__Mogibacterium;s__Mogibacterium timidum	biological product [ENVO:02000043]	none	f	na	NCBI MAG												
GCF_000525775.1	GCF_000525775.1_MtimATCC33093v1.0_genomic	none	44.3050421242795	98.58	0			33	33_1	1806210	107937	g__Mogibacterium;s__Mogibacterium timidum	none	none	t	representative genome	NCBI MAG												
GCF_013394805.1	GCF_013394805.1_ASM1339480v1_genomic	oral	44.208711124307	98.58	0.71			33	33_1	1859163	1046411	g__Mogibacterium;s__Mogibacterium timidum	carious dentine tooth oral cavity	none	f	na	NCBI isolate												
	CMC001.B.bin.r.68	oral		59.82	2.13			33	33_1	844727	2255	g__Mogibacterium;s__Mogibacterium timidum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC004.B.bin.r.35	oral		72.57	0			33	33_1	1119234	11447	g__Mogibacterium;s__Mogibacterium timidum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC007.B.bin.r.78	oral		61.4	0.95			33	33_1	903546	2378	g__Mogibacterium;s__Mogibacterium timidum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC018.B.bin.r.3	oral		95.04	0			33	33_1	1433541	31492	g__Mogibacterium;s__Mogibacterium timidum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
	CMC035.B.bin.r.51	oral		95.04	0			33	33_1	1444256	20971	g__Mogibacterium;s__Mogibacterium timidum					CMC			Velsko2023	7	Africa	Cameroon	Homo		Human			
