genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
ERS3395772.bin.r.25.fa,17_16,0.010000000000000009,average,ANImf,17
ERS2985743.bin.r.19.fa,17_17,0.010000000000000009,average,ANImf,17
ERS2985785.bin.r.5.fa,17_18,0.010000000000000009,average,ANImf,17
ERS6205395.bin.r.12.fa,17_19,0.010000000000000009,average,ANImf,17
SRS15300788.bin.r.8.fa,17_20,0.010000000000000009,average,ANImf,17
ERS11702771.bin.r.6.fa,17_21,0.010000000000000009,average,ANImf,17
ERS11702777.bin.r.5.fa,17_22,0.010000000000000009,average,ANImf,17
ERSX0002001.bin.r.6.fa,17_23,0.010000000000000009,average,ANImf,17
ERSX0004058.bin.r.5.fa,17_24,0.010000000000000009,average,ANImf,17
ERS11702742.bin.r.3.fa,17_25,0.010000000000000009,average,ANImf,17
ERS11702731.bin.r.9.fa,17_26,0.010000000000000009,average,ANImf,17
ERS11702789.bin.r.1.fa,17_27,0.010000000000000009,average,ANImf,17
ERS2985784.bin.r.17.fa,17_28,0.010000000000000009,average,ANImf,17
ERS11702809.bin.r.5.fa,17_29,0.010000000000000009,average,ANImf,17
ERS11702747.bin.r.2.fa,17_30,0.010000000000000009,average,ANImf,17
ERS6205393.bin.r.10.fa,17_31,0.010000000000000009,average,ANImf,17
ERS11702776.bin.r.8.fa,17_32,0.010000000000000009,average,ANImf,17
ERS11702769.bin.r.1.fa,17_33,0.010000000000000009,average,ANImf,17
ERS2985742.bin.r.6.fa,17_34,0.010000000000000009,average,ANImf,17
ERS2985775.bin.r.10.fa,17_35,0.010000000000000009,average,ANImf,17
ERS11702801.bin.r.8.fa,17_36,0.010000000000000009,average,ANImf,17
ERS2985776.bin.r.14.fa,17_37,0.010000000000000009,average,ANImf,17
ERS11702774.bin.r.7.fa,17_38,0.010000000000000009,average,ANImf,17
CM_periimplantitis__SP_323SPI_T016__bin.10.fa,17_39,0.010000000000000009,average,ANImf,17
ERS11702739.bin.r.4.fa,17_40,0.010000000000000009,average,ANImf,17
ERS2985750.bin.r.17.fa,17_41,0.010000000000000009,average,ANImf,17
ERS3395767.bin.r.17.fa,17_42,0.010000000000000009,average,ANImf,17
CM_periimplantitis__SP_304SPI_T016__bin.13.fa,17_43,0.010000000000000009,average,ANImf,17
ERS11702732.bin.r.1.fa,17_44,0.010000000000000009,average,ANImf,17
ERS2985770.bin.r.13.fa,17_45,0.010000000000000009,average,ANImf,17
ERS2985773.bin.r.3.fa,17_46,0.010000000000000009,average,ANImf,17
SRS473746.bin.r.45.fa,17_47,0.010000000000000009,average,ANImf,17
ERS3774485.bin.r.30.fa,17_48,0.010000000000000009,average,ANImf,17
ERS12516973.bin.r.10.fa,17_49,0.010000000000000009,average,ANImf,17
ERS12516939.bin.r.19.fa,17_50,0.010000000000000009,average,ANImf,17
ERS12516941.bin.r.20.fa,17_51,0.010000000000000009,average,ANImf,17
ERS12516986.bin.r.5.fa,17_52,0.010000000000000009,average,ANImf,17
CMC018.B.bin.r.106.fa,18_0,0.010000000000000009,average,ANImf,18
GCA_002385825.1_ASM238582v1_genomic.fna,19_1,0.010000000000000009,average,ANImf,19
GCA_003445605.1_ASM344560v1_genomic.fna,19_1,0.010000000000000009,average,ANImf,19
GCA_012521055.1_ASM1252105v1_genomic.fna,19_2,0.010000000000000009,average,ANImf,19
GCA_012523915.1_ASM1252391v1_genomic.fna,20_0,0.010000000000000009,average,ANImf,20
GCA_012735285.1_ASM1273528v1_genomic.fna,21_0,0.010000000000000009,average,ANImf,21
GCA_002455605.1_ASM245560v1_genomic.fna,22_1,0.010000000000000009,average,ANImf,22
GCA_015058235.1_ASM1505823v1_genomic.fna,22_1,0.010000000000000009,average,ANImf,22
GCF_004103735.1_ASM410373v1_genomic.fna,23_0,0.010000000000000009,average,ANImf,23
GCF_010120715.1_ASM1012071v1_genomic.fna,24_0,0.010000000000000009,average,ANImf,24
GCF_010669305.1_ASM1066930v1_genomic.fna,25_0,0.010000000000000009,average,ANImf,25
GCF_017255415.1_ASM1725541v1_genomic.fna,26_0,0.010000000000000009,average,ANImf,26
CMC024.B.bin.r.104.fa,27_1,0.010000000000000009,average,ANImf,27
CMC035.B.bin.r.102.fa,27_1,0.010000000000000009,average,ANImf,27
ERS11702770.bin.r.3.fa,27_1,0.010000000000000009,average,ANImf,27
ERS11702787.bin.r.5.fa,27_1,0.010000000000000009,average,ANImf,27
ERS2985743.bin.r.2.fa,27_1,0.010000000000000009,average,ANImf,27
ERS2985750.bin.r.8.fa,27_1,0.010000000000000009,average,ANImf,27
ERS2985754.bin.r.4.fa,27_1,0.010000000000000009,average,ANImf,27
ERS2985769.bin.r.9.fa,27_1,0.010000000000000009,average,ANImf,27
ERS3395773.bin.r.21.fa,27_1,0.010000000000000009,average,ANImf,27
ERS3774402.bin.r.1.fa,27_1,0.010000000000000009,average,ANImf,27
ERS3774485.bin.r.23.fa,27_1,0.010000000000000009,average,ANImf,27
ERSX0002001.bin.r.10.fa,27_1,0.010000000000000009,average,ANImf,27
SRS15300800.bin.r.7.fa,27_1,0.010000000000000009,average,ANImf,27
SRS473746.bin.r.44.fa,27_1,0.010000000000000009,average,ANImf,27
CMC018.B.bin.r.155.fa,27_2,0.010000000000000009,average,ANImf,27
CMC026.B.bin.r.86.fa,27_2,0.010000000000000009,average,ANImf,27
ERS3395772.bin.r.2.fa,27_2,0.010000000000000009,average,ANImf,27
ERS3774489.bin.r.17.fa,27_2,0.010000000000000009,average,ANImf,27
CMC022.B.bin.r.13.fa,28_0,0.010000000000000009,average,ANImf,28
SRS4625245.bin.r.22.fa,29_0,0.010000000000000009,average,ANImf,29
SRS4625245.bin.r.16.fa,30_0,0.010000000000000009,average,ANImf,30
CMC024.B.bin.r.41.fa,31_1,0.010000000000000009,average,ANImf,31
CMC038.B.bin.r.123.fa,31_1,0.010000000000000009,average,ANImf,31
GCA_002329675.1_ASM232967v1_genomic.fna,32_1,0.010000000000000009,average,ANImf,32
GCA_012719215.1_ASM1271921v1_genomic.fna,32_2,0.010000000000000009,average,ANImf,32
CMC001.B.bin.r.68.fa,33_1,0.010000000000000009,average,ANImf,33
CMC004.B.bin.r.35.fa,33_1,0.010000000000000009,average,ANImf,33
CMC007.B.bin.r.78.fa,33_1,0.010000000000000009,average,ANImf,33
CMC018.B.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
CMC035.B.bin.r.51.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_143SPI_T016__bin.3.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_163SPT_T016__bin.27.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_184SPT_T016__bin.14.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_264SPI_T016__bin.17.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_305SPI_T016__bin.19.fa,33_1,0.010000000000000009,average,ANImf,33
CM_periimplantitis__SP_384SPI_T016__bin.8.fa,33_1,0.010000000000000009,average,ANImf,33
ERS11702775.bin.r.2.fa,33_1,0.010000000000000009,average,ANImf,33
ERS11702810.bin.r.6.fa,33_1,0.010000000000000009,average,ANImf,33
ERS12516979.bin.r.11.fa,33_1,0.010000000000000009,average,ANImf,33
ERS2985750.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERS2985754.bin.r.11.fa,33_1,0.010000000000000009,average,ANImf,33
ERS2985770.bin.r.7.fa,33_1,0.010000000000000009,average,ANImf,33
ERS2985784.bin.r.9.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3395767.bin.r.29.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3395771.bin.r.35.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3395772.bin.r.27.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3395773.bin.r.19.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3774485.bin.r.38.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3774489.bin.r.15.fa,33_1,0.010000000000000009,average,ANImf,33
ERS3774490.bin.r.25.fa,33_1,0.010000000000000009,average,ANImf,33
ERS4545903.bin.r.4.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0002001.bin.r.11.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004003.bin.r.2.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004004.bin.r.5.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004006.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004009.bin.r.1.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004012.bin.r.7.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004014.bin.r.6.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004015.bin.r.5.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004063.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004064.bin.r.7.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004065.bin.r.9.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004071.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004072.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004073.bin.r.6.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004074.bin.r.3.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0004075.bin.r.1.fa,33_1,0.010000000000000009,average,ANImf,33
GCA_019416225.1_ASM1941622v1_genomic.fna,33_1,0.010000000000000009,average,ANImf,33
GCA_905373865.1_SRR9217490-mag-bin.8_genomic.fna,33_1,0.010000000000000009,average,ANImf,33
GCF_000293155.1_MspCM50v1.0_genomic.fna,33_1,0.010000000000000009,average,ANImf,33
GCF_000525775.1_MtimATCC33093v1.0_genomic.fna,33_1,0.010000000000000009,average,ANImf,33
GCF_013394805.1_ASM1339480v1_genomic.fna,33_1,0.010000000000000009,average,ANImf,33
HMP_2012__SRS014691__bin.3.fa,33_1,0.010000000000000009,average,ANImf,33
MGYG000298193.fna,33_1,0.010000000000000009,average,ANImf,33
SEQF2630.1.fna,33_1,0.010000000000000009,average,ANImf,33
SEQF3171.1.fna,33_1,0.010000000000000009,average,ANImf,33
SRS15300800.bin.r.14.fa,33_1,0.010000000000000009,average,ANImf,33
SRS473746.bin.r.48.fa,33_1,0.010000000000000009,average,ANImf,33
ERSX0003003.bin.r.21.fa,33_2,0.010000000000000009,average,ANImf,33
GCA_916438645.1_DRR214959_bin.47_metaWRAP_v1.1_MAG_genomic.fna,34_1,0.010000000000000009,average,ANImf,34
MGYG000298187.fna,34_1,0.010000000000000009,average,ANImf,34
HMP_2012__SRS016569__bin.4.fa,35_1,0.010000000000000009,average,ANImf,35
HMP_2012__SRS019894__bin.60.fa,35_2,0.010000000000000009,average,ANImf,35
CMC004.B.bin.r.80.fa,36_1,0.010000000000000009,average,ANImf,36
CMC020.B.bin.r.51.fa,36_2,0.010000000000000009,average,ANImf,36
CMC021.B.bin.r.37.fa,36_3,0.010000000000000009,average,ANImf,36
CMC033.B.bin.r.42.fa,36_4,0.010000000000000009,average,ANImf,36
CMC042.B.bin.r.81.fa,36_5,0.010000000000000009,average,ANImf,36
CMC010.B.bin.r.88.fa,36_6,0.010000000000000009,average,ANImf,36
CMC025.B.bin.r.87.fa,36_7,0.010000000000000009,average,ANImf,36
CMC040.B.bin.r.98.fa,36_8,0.010000000000000009,average,ANImf,36
CMC027.B.bin.r.11.fa,36_9,0.010000000000000009,average,ANImf,36
CMC026.B.bin.r.28.fa,36_10,0.010000000000000009,average,ANImf,36
CMC045.B.bin.r.87.fa,36_11,0.010000000000000009,average,ANImf,36
CMC016.B.bin.r.75.fa,36_12,0.010000000000000009,average,ANImf,36
ERS12516970.bin.r.124.fa,36_13,0.010000000000000009,average,ANImf,36
GCA_916439235.1_DRR214960_bin.7_metaWRAP_v1.1_MAG_genomic.fna,37_1,0.010000000000000009,average,ANImf,37
MGYG000298166.fna,37_1,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015434__bin.12.fa,37_2,0.010000000000000009,average,ANImf,37
HMP_2012__SRS019071__bin.79.fa,37_2,0.010000000000000009,average,ANImf,37
CMC032.B.bin.r.35.fa,37_3,0.010000000000000009,average,ANImf,37
GCA_015263645.1_ASM1526364v1_genomic.fna,37_4,0.010000000000000009,average,ANImf,37
MGYG000298878.fna,37_4,0.010000000000000009,average,ANImf,37
HMP_2012__SRS024081__bin.31.fa,37_5,0.010000000000000009,average,ANImf,37
GCA_015263775.1_ASM1526377v1_genomic.fna,37_6,0.010000000000000009,average,ANImf,37
MGYG000298423.fna,37_6,0.010000000000000009,average,ANImf,37
GCA_015263765.1_ASM1526376v1_genomic.fna,37_7,0.010000000000000009,average,ANImf,37
MGYG000298893.fna,37_7,0.010000000000000009,average,ANImf,37
GCA_015263815.1_ASM1526381v1_genomic.fna,37_8,0.010000000000000009,average,ANImf,37
MGYG000298096.fna,37_8,0.010000000000000009,average,ANImf,37
GCF_002998925.1_ASM299892v1_genomic.fna,37_9,0.010000000000000009,average,ANImf,37
SEQF3053.1.fna,37_9,0.010000000000000009,average,ANImf,37
ERS12516981.bin.r.16.fa,37_10,0.010000000000000009,average,ANImf,37
ERS12516986.bin.r.13.fa,37_11,0.010000000000000009,average,ANImf,37
GCA_015263675.1_ASM1526367v1_genomic.fna,37_12,0.010000000000000009,average,ANImf,37
MGYG000298036.fna,37_12,0.010000000000000009,average,ANImf,37
GCA_015263615.1_ASM1526361v1_genomic.fna,37_13,0.010000000000000009,average,ANImf,37
MGYG000299002.fna,37_13,0.010000000000000009,average,ANImf,37
GCA_015263745.1_ASM1526374v1_genomic.fna,37_14,0.010000000000000009,average,ANImf,37
MGYG000298871.fna,37_14,0.010000000000000009,average,ANImf,37
HMP_2012__SRS056323__bin.23.fa,37_15,0.010000000000000009,average,ANImf,37
MGYG000299034.fna,37_16,0.010000000000000009,average,ANImf,37
GCA_019417565.1_ASM1941756v1_genomic.fna,37_17,0.010000000000000009,average,ANImf,37
HMP_2012__SRS024580__bin.46.fa,37_18,0.010000000000000009,average,ANImf,37
HMP_2012__SRS020856__bin.27.fa,37_19,0.010000000000000009,average,ANImf,37
HMP_2012__SRS042643__bin.11.fa,37_20,0.010000000000000009,average,ANImf,37
HMP_2012__SRS020220__bin.51.fa,37_21,0.010000000000000009,average,ANImf,37
ERS12516979.bin.r.5.fa,37_22,0.010000000000000009,average,ANImf,37
HMP_2012__SRS022621__bin.62.fa,37_23,0.010000000000000009,average,ANImf,37
HMP_2012__SRS023835__bin.32.fa,37_24,0.010000000000000009,average,ANImf,37
ERS12516954.bin.r.6.fa,37_25,0.010000000000000009,average,ANImf,37
MGYG000298593.fna,37_26,0.010000000000000009,average,ANImf,37
ERS12516983.bin.r.12.fa,37_27,0.010000000000000009,average,ANImf,37
ERS12516994.bin.r.38.fa,37_28,0.010000000000000009,average,ANImf,37
ERS12516960.bin.r.26.fa,37_29,0.010000000000000009,average,ANImf,37
GCA_013333095.2_ASM1333309v2_genomic.fna,37_30,0.010000000000000009,average,ANImf,37
MGYG000299007.fna,37_30,0.010000000000000009,average,ANImf,37
GCA_015263715.1_ASM1526371v1_genomic.fna,37_31,0.010000000000000009,average,ANImf,37
MGYG000298414.fna,37_31,0.010000000000000009,average,ANImf,37
HMP_2012__SRS016342__bin.20.fa,37_32,0.010000000000000009,average,ANImf,37
HMP_2012__SRS064774__bin.32.fa,37_33,0.010000000000000009,average,ANImf,37
HMP_2012__SRS055426__bin.35.fa,37_34,0.010000000000000009,average,ANImf,37
HMP_2012__SRS047824__bin.52.fa,37_35,0.010000000000000009,average,ANImf,37
HMP_2012__SRS023617__bin.32.fa,37_36,0.010000000000000009,average,ANImf,37
HMP_2012__SRS057539__bin.30.fa,37_37,0.010000000000000009,average,ANImf,37
HMP_2012__SRS049147__bin.1.fa,37_38,0.010000000000000009,average,ANImf,37
HMP_2012__SRS078182__bin.2.fa,37_39,0.010000000000000009,average,ANImf,37
HMP_2012__SRS011306__bin.26.fa,37_40,0.010000000000000009,average,ANImf,37
HMP_2012__SRS014684__bin.12.fa,37_41,0.010000000000000009,average,ANImf,37
HMP_2012__SRS018791__bin.51.fa,37_42,0.010000000000000009,average,ANImf,37
HMP_2012__SRS019122__bin.41.fa,37_43,0.010000000000000009,average,ANImf,37
GCA_916049675.1_ERR2764804_bin.3_metaWRAP_v1.1_MAG_genomic.fna,37_44,0.010000000000000009,average,ANImf,37
MGYG000298209.fna,37_44,0.010000000000000009,average,ANImf,37
HMP_2012__SRS016319__bin.53.fa,37_45,0.010000000000000009,average,ANImf,37
HMP_2012__SRS057205__bin.56.fa,37_46,0.010000000000000009,average,ANImf,37
HMP_2012__SRS014124__bin.24.fa,37_47,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015893__bin.53.fa,37_48,0.010000000000000009,average,ANImf,37
HMP_2012__SRS018300__bin.49.fa,37_49,0.010000000000000009,average,ANImf,37
HMP_2012__SRS014271__bin.40.fa,37_50,0.010000000000000009,average,ANImf,37
HMP_2012__SRS047210__bin.54.fa,37_50,0.010000000000000009,average,ANImf,37
HMP_2012__SRS047219__bin.8.fa,37_50,0.010000000000000009,average,ANImf,37
HMP_2012__SRS016002__bin.28.fa,37_51,0.010000000000000009,average,ANImf,37
MGYG000298223.fna,37_52,0.010000000000000009,average,ANImf,37
HMP_2012__SRS019327__bin.59.fa,37_53,0.010000000000000009,average,ANImf,37
HMP_2012__SRS024318__bin.56.fa,37_54,0.010000000000000009,average,ANImf,37
HMP_2012__SRS017120__bin.15.fa,37_55,0.010000000000000009,average,ANImf,37
HMP_2012__SRS017439__bin.23.fa,37_56,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015038__bin.21.fa,37_57,0.010000000000000009,average,ANImf,37
HMP_2012__SRS016086__bin.30.fa,37_58,0.010000000000000009,average,ANImf,37
HMP_2012__SRS048791__bin.39.fa,37_59,0.010000000000000009,average,ANImf,37
HMP_2012__SRS022143__bin.20.fa,37_60,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015644__bin.53.fa,37_61,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015941__bin.7.fa,37_61,0.010000000000000009,average,ANImf,37
HMP_2012__SRS042131__bin.44.fa,37_61,0.010000000000000009,average,ANImf,37
HMP_2012__SRS048411__bin.25.fa,37_61,0.010000000000000009,average,ANImf,37
HMP_2012__SRS023926__bin.5.fa,37_62,0.010000000000000009,average,ANImf,37
GCA_013333425.2_ASM1333342v2_genomic.fna,37_63,0.010000000000000009,average,ANImf,37
MGYG000298492.fna,37_63,0.010000000000000009,average,ANImf,37
HMP_2012__SRS014470__bin.40.fa,37_64,0.010000000000000009,average,ANImf,37
HMP_2012__SRS015057__bin.12.fa,37_64,0.010000000000000009,average,ANImf,37
HMP_2012__SRS064423__bin.13.fa,37_65,0.010000000000000009,average,ANImf,37
HMP_2012__SRS065278__bin.5.fa,37_65,0.010000000000000009,average,ANImf,37
HMP_2012__SRS011115__bin.72.fa,37_66,0.010000000000000009,average,ANImf,37
HMP_2012__SRS021496__bin.73.fa,37_66,0.010000000000000009,average,ANImf,37
HMP_2012__SRS019974__bin.37.fa,37_67,0.010000000000000009,average,ANImf,37
HMP_2012__SRS057791__bin.28.fa,37_68,0.010000000000000009,average,ANImf,37
HMP_2012__SRS044373__bin.81.fa,37_69,0.010000000000000009,average,ANImf,37
HMP_2012__SRS018591__bin.32.fa,37_70,0.010000000000000009,average,ANImf,37
HMP_2012__SRS051791__bin.16.fa,37_70,0.010000000000000009,average,ANImf,37
HMP_2012__SRS023352__bin.51.fa,37_71,0.010000000000000009,average,ANImf,37
HMP_2012__SRS062761__bin.6.fa,37_72,0.010000000000000009,average,ANImf,37
HMP_2012__SRS024138__bin.34.fa,37_73,0.010000000000000009,average,ANImf,37
HMP_2012__SRS016740__bin.48.fa,37_74,0.010000000000000009,average,ANImf,37
HMP_2012__SRS012279__bin.89.fa,37_75,0.010000000000000009,average,ANImf,37
HMP_2012__SRS014573__bin.79.fa,37_76,0.010000000000000009,average,ANImf,37
GCA_023303005.1_ASM2330300v1_genomic.fna,37_77,0.010000000000000009,average,ANImf,37
BritoIL_2016__W3.22.SA__bin.21.fa,37_78,0.010000000000000009,average,ANImf,37
ERS12516978.bin.r.61.fa,37_79,0.010000000000000009,average,ANImf,37
CM_periimplantitis__SP_143SPI_T016__bin.14.fa,38_0,0.010000000000000009,average,ANImf,38
GCF_002243385.1_ASM224338v1_genomic.fna,39_1,0.010000000000000009,average,ANImf,39
SEQF2857.1.fna,39_1,0.010000000000000009,average,ANImf,39
ERS6256687.bin.r.13.fa,40_1,0.010000000000000009,average,ANImf,40
ERS6256719.bin.r.5.fa,40_1,0.010000000000000009,average,ANImf,40
CMC022.B.bin.r.42.fa,40_2,0.010000000000000009,average,ANImf,40
CMC024.B.bin.r.75.fa,40_2,0.010000000000000009,average,ANImf,40
CMC038.B.bin.r.102.fa,40_3,0.010000000000000009,average,ANImf,40
CMC035.B.bin.r.110.fa,40_4,0.010000000000000009,average,ANImf,40
GCA_916438865.1_DRR214960_bin.23_metaWRAP_v1.1_MAG_genomic.fna,41_0,0.010000000000000009,average,ANImf,41
SRS4625245.bin.r.29.fa,42_1,0.010000000000000009,average,ANImf,42
SRS4625246.bin.r.14.fa,42_1,0.010000000000000009,average,ANImf,42
SRS4625247.bin.r.7.fa,42_1,0.010000000000000009,average,ANImf,42
ERS3774419.bin.r.9.fa,42_2,0.010000000000000009,average,ANImf,42
ERS3774424.bin.r.12.fa,42_2,0.010000000000000009,average,ANImf,42
ERS3774422.bin.r.56.fa,42_3,0.010000000000000009,average,ANImf,42
ERS3774425.bin.r.3.fa,42_4,0.010000000000000009,average,ANImf,42
CMC022.B.bin.r.47.fa,43_0,0.010000000000000009,average,ANImf,43
GCA_902388795.1_UHGG_MGYG-HGUT-02597_genomic.fna,44_1,0.010000000000000009,average,ANImf,44
GCA_905204855.1_SRR413756-mag-bin.15_genomic.fna,44_1,0.010000000000000009,average,ANImf,44
GCA_016901405.1_ASM1690140v1_genomic.fna,44_2,0.010000000000000009,average,ANImf,44
GCF_900155555.1_PRJEB18028_genomic.fna,44_3,0.010000000000000009,average,ANImf,44
GCA_945828855.1_SRR5240749_bin.6_metaWRAP_v1.3_MAG_genomic.fna,45_1,0.010000000000000009,average,ANImf,45
GCF_009695865.1_ASM969586v1_genomic.fna,45_2,0.010000000000000009,average,ANImf,45
GCA_900315625.1_Rumen_uncultured_genome_RUG119_genomic.fna,45_3,0.010000000000000009,average,ANImf,45
GCA_902790565.1_Rumen_uncultured_genome_RUG13590_genomic.fna,45_3,0.010000000000000009,average,ANImf,45
GCA_022786565.1_ASM2278656v1_genomic.fna,45_4,0.010000000000000009,average,ANImf,45
GCA_945876075.1_SRR15732360_bin.25_metaWRAP_v1.3_MAG_genomic.fna,45_5,0.010000000000000009,average,ANImf,45
