genome,completeness,contamination,length,N50
GCA_013333095.2_ASM1333309v2_genomic.fna,95.39,0.0,1570902,41285
GCA_013333425.2_ASM1333342v2_genomic.fna,75.77,0.59,1273923,16687
GCA_015058065.1_ASM1505806v1_genomic.fna,89.91,0.71,1541531,14985
GCA_015058085.1_ASM1505808v1_genomic.fna,90.78,4.43,1742615,9406
GCA_015058105.1_ASM1505810v1_genomic.fna,93.12,2.01,1490000,25705
GCA_015058115.1_ASM1505811v1_genomic.fna,89.94,3.19,1778058,42161
GCA_015058145.1_ASM1505814v1_genomic.fna,82.07,1.42,1525770,29299
GCA_015058155.1_ASM1505815v1_genomic.fna,95.45,0.0,1702308,49732
GCA_015058185.1_ASM1505818v1_genomic.fna,90.26,1.31,1562164,15998
GCA_015058205.1_ASM1505820v1_genomic.fna,91.33,0.95,1850301,24035
GCA_015058215.1_ASM1505821v1_genomic.fna,96.45,0.71,1730909,72498
GCA_015058235.1_ASM1505823v1_genomic.fna,96.45,1.06,3265354,129758
GCA_015058265.1_ASM1505826v1_genomic.fna,81.69,3.19,1962918,6841
GCA_015058275.1_ASM1505827v1_genomic.fna,96.1,0.71,1821312,75958
GCA_015243575.1_ASM1524357v1_genomic.fna,98.58,1.06,4941017,4941017
GCA_015255515.1_ASM1525551v1_genomic.fna,97.26,2.13,1505577,21190
GCA_015255605.1_ASM1525560v1_genomic.fna,81.8,2.13,1320714,5887
GCA_015255615.1_ASM1525561v1_genomic.fna,100.0,0.71,2363855,64921
GCA_015255625.1_ASM1525562v1_genomic.fna,69.39,1.26,892222,16667
GCA_015255645.1_ASM1525564v1_genomic.fna,93.38,1.06,1423409,13078
GCA_015255675.1_ASM1525567v1_genomic.fna,98.28,7.92,1564214,33277
GCA_015255705.1_ASM1525570v1_genomic.fna,96.93,1.11,1588988,29612
GCA_015255725.1_ASM1525572v1_genomic.fna,100.0,0.71,1712718,64457
GCA_015255735.1_ASM1525573v1_genomic.fna,100.0,0.71,1725057,41708
GCA_015255745.1_ASM1525574v1_genomic.fna,95.27,4.14,1671780,15940
GCA_015255785.1_ASM1525578v1_genomic.fna,100.0,0.71,1785280,234596
GCA_015255805.1_ASM1525580v1_genomic.fna,95.04,0.71,1698949,59758
GCA_015255825.1_ASM1525582v1_genomic.fna,99.29,0.71,1639903,147522
GCA_015255835.1_ASM1525583v1_genomic.fna,87.37,1.06,1403939,33664
GCA_015255865.1_ASM1525586v1_genomic.fna,98.44,0.71,1672967,41783
GCA_015255875.1_ASM1525587v1_genomic.fna,94.68,2.54,1444893,11059
GCA_015255905.1_ASM1525590v1_genomic.fna,93.62,0.83,1484242,12385
GCA_015255915.1_ASM1525591v1_genomic.fna,100.0,0.71,1737384,63761
GCA_015255925.1_ASM1525592v1_genomic.fna,88.19,1.9,1246043,7546
GCA_015255975.1_ASM1525597v1_genomic.fna,100.0,0.71,1835897,204865
GCA_015256005.1_ASM1525600v1_genomic.fna,91.13,1.94,1490037,10852
GCA_015256015.1_ASM1525601v1_genomic.fna,92.24,0.89,1623809,63476
GCA_015256025.1_ASM1525602v1_genomic.fna,99.65,0.71,1743182,39304
GCA_015256065.1_ASM1525606v1_genomic.fna,71.39,0.35,1162387,28905
GCA_015256085.1_ASM1525608v1_genomic.fna,98.94,1.42,1560527,13261
GCA_015256105.1_ASM1525610v1_genomic.fna,96.81,0.71,1686430,67654
GCA_015256115.1_ASM1525611v1_genomic.fna,94.96,0.71,1675367,211864
GCA_015256125.1_ASM1525612v1_genomic.fna,99.29,0.71,1577907,99181
GCA_015256135.1_ASM1525613v1_genomic.fna,93.03,0.71,1555823,12187
GCA_015256185.1_ASM1525618v1_genomic.fna,100.0,0.71,1817673,185767
GCA_015256235.1_ASM1525623v1_genomic.fna,96.1,0.71,1461482,160459
GCA_015258265.1_ASM1525826v1_genomic.fna,97.16,0.71,1446661,70164
GCA_015263615.1_ASM1526361v1_genomic.fna,91.13,0.0,1492257,24957
GCA_015263645.1_ASM1526364v1_genomic.fna,91.43,1.42,1524311,18557
GCA_015263675.1_ASM1526367v1_genomic.fna,88.59,1.42,1406303,6107
GCA_015263715.1_ASM1526371v1_genomic.fna,87.77,1.42,1431673,7725
GCA_015263745.1_ASM1526374v1_genomic.fna,89.72,1.09,1473227,10496
GCA_015263765.1_ASM1526376v1_genomic.fna,97.16,0.07,1535808,32321
GCA_015263775.1_ASM1526377v1_genomic.fna,87.41,0.71,1465163,19495
GCA_015263815.1_ASM1526381v1_genomic.fna,95.04,4.96,1626275,45706
GCA_016280485.1_ASM1628048v1_genomic.fna,83.64,2.34,1747662,12264
GCA_016281165.1_ASM1628116v1_genomic.fna,84.21,4.14,1996683,7819
GCA_016282655.1_ASM1628265v1_genomic.fna,86.45,4.37,1407417,6700
GCA_016283765.1_ASM1628376v1_genomic.fna,97.87,0.0,1983281,22485
GCA_016283945.1_ASM1628394v1_genomic.fna,92.67,4.16,1817210,10371
GCA_016284135.1_ASM1628413v1_genomic.fna,78.01,3.47,1642854,5246
GCA_016284485.1_ASM1628448v1_genomic.fna,94.24,5.38,1627833,10191
GCA_016284575.1_ASM1628457v1_genomic.fna,85.27,4.96,2034102,10669
GCA_016284785.1_ASM1628478v1_genomic.fna,88.68,5.67,1912023,6226
GCA_016286935.1_ASM1628693v1_genomic.fna,83.03,1.42,1477082,5611
GCA_016287035.1_ASM1628703v1_genomic.fna,83.09,3.07,1385625,7914
GCA_016287615.1_ASM1628761v1_genomic.fna,92.91,8.49,1694551,11058
GCA_016287935.1_ASM1628793v1_genomic.fna,93.38,4.63,2051686,7095
GCA_016290935.1_ASM1629093v1_genomic.fna,95.39,8.98,2150801,9877
GCA_016292905.1_ASM1629290v1_genomic.fna,92.2,0.0,1676919,27978
GCA_016293805.1_ASM1629380v1_genomic.fna,95.04,0.0,1767378,41749
GCA_016302545.1_ASM1630254v1_genomic.fna,81.89,0.0,1546644,14176
GCA_016302925.1_ASM1630292v1_genomic.fna,83.26,2.84,2023030,10290
GCA_016650115.1_ASM1665011v1_genomic.fna,87.62,1.93,2049877,5957
GCA_016650135.1_ASM1665013v1_genomic.fna,82.29,6.15,2645400,5952
GCA_016650175.1_ASM1665017v1_genomic.fna,85.11,0.0,1625515,35450
GCA_016775335.1_ASM1677533v1_genomic.fna,97.16,0.0,2030227,114830
GCA_016901405.1_ASM1690140v1_genomic.fna,99.29,0.0,2143500,192281
GCA_016939055.1_ASM1693905v1_genomic.fna,99.29,1.24,2032434,32765
GCA_017382675.1_ASM1738267v1_genomic.fna,86.47,6.97,1740711,5095
GCA_017386805.1_ASM1738680v1_genomic.fna,86.17,6.15,1574353,5226
GCA_017392665.1_ASM1739266v1_genomic.fna,83.75,2.25,1291531,5734
GCA_017392905.1_ASM1739290v1_genomic.fna,88.37,2.72,1349084,7332
GCA_017394045.1_ASM1739404v1_genomic.fna,86.17,2.01,1494617,6053
GCA_017394515.1_ASM1739451v1_genomic.fna,90.85,0.71,2139509,43698
GCA_017397005.1_ASM1739700v1_genomic.fna,90.78,0.47,1449001,16117
GCA_017397825.1_ASM1739782v1_genomic.fna,87.16,4.37,2020035,27374
GCA_017400105.1_ASM1740010v1_genomic.fna,93.29,6.02,2356830,7279
GCA_017400245.1_ASM1740024v1_genomic.fna,90.73,6.47,1672879,5452
GCA_017403955.1_ASM1740395v1_genomic.fna,93.59,2.48,2200348,140417
GCA_017404265.1_ASM1740426v1_genomic.fna,96.1,0.89,1827285,177191
GCA_017404365.1_ASM1740436v1_genomic.fna,89.72,2.5,1467376,18425
GCA_017405645.1_ASM1740564v1_genomic.fna,82.98,0.35,1427329,71721
GCA_017405845.1_ASM1740584v1_genomic.fna,98.58,0.95,2338958,88895
GCA_017412505.1_ASM1741250v1_genomic.fna,93.97,0.73,2150748,21802
GCA_017416795.1_ASM1741679v1_genomic.fna,95.39,0.95,1942118,51305
GCA_017417045.1_ASM1741704v1_genomic.fna,90.54,1.6,1819094,47792
GCA_017418745.1_ASM1741874v1_genomic.fna,86.02,6.32,1898197,5393
GCA_017419085.1_ASM1741908v1_genomic.fna,73.71,2.77,1369919,5489
GCA_017419535.1_ASM1741953v1_genomic.fna,85.76,2.48,1433437,7323
GCA_017419895.1_ASM1741989v1_genomic.fna,81.03,3.83,1704375,6459
GCA_017419965.1_ASM1741996v1_genomic.fna,76.41,0.35,1275175,11766
GCA_017420675.1_ASM1742067v1_genomic.fna,86.41,3.57,1578644,6299
GCA_017425345.1_ASM1742534v1_genomic.fna,51.72,0.0,1037140,20594
GCA_017426225.1_ASM1742622v1_genomic.fna,89.22,7.51,1712075,6876
GCA_017428205.1_ASM1742820v1_genomic.fna,84.92,3.64,1829922,8000
GCA_017428655.1_ASM1742865v1_genomic.fna,98.28,1.88,2391541,15524
GCA_017429375.1_ASM1742937v1_genomic.fna,92.79,5.28,2415586,5844
GCA_017429625.1_ASM1742962v1_genomic.fna,75.65,2.61,1624180,6052
GCA_017430335.1_ASM1743033v1_genomic.fna,83.87,4.31,1792581,6185
GCA_017431175.1_ASM1743117v1_genomic.fna,65.52,0.0,1862949,22188
GCA_017431395.1_ASM1743139v1_genomic.fna,80.14,5.39,1614188,8094
GCA_017431685.1_ASM1743168v1_genomic.fna,100.0,8.62,2741744,61371
GCA_017431785.1_ASM1743178v1_genomic.fna,89.38,4.28,2724508,60244
GCA_017432075.1_ASM1743207v1_genomic.fna,92.66,2.41,2747712,33505
GCA_017432345.1_ASM1743234v1_genomic.fna,88.79,0.71,1815832,64870
GCA_017432725.1_ASM1743272v1_genomic.fna,63.0,1.77,1424739,31840
GCA_017433375.1_ASM1743337v1_genomic.fna,86.52,0.0,1953975,88185
GCA_017433605.1_ASM1743360v1_genomic.fna,71.39,3.61,2146494,13003
GCA_017433945.1_ASM1743394v1_genomic.fna,84.29,5.91,1985973,13706
GCA_017433975.1_ASM1743397v1_genomic.fna,95.74,3.9,2260713,93486
GCA_017434025.1_ASM1743402v1_genomic.fna,96.95,1.2,2221953,67171
GCA_017434425.1_ASM1743442v1_genomic.fna,74.82,4.73,1295464,5254
GCA_017434585.1_ASM1743458v1_genomic.fna,91.25,2.48,2013189,14683
GCA_017434685.1_ASM1743468v1_genomic.fna,60.33,1.49,1265762,7435
GCA_017436705.1_ASM1743670v1_genomic.fna,95.74,0.0,2239774,64022
GCA_017437565.1_ASM1743756v1_genomic.fna,82.86,0.35,2383004,15018
GCA_017437745.1_ASM1743774v1_genomic.fna,95.63,0.02,1632195,134153
GCA_017437925.1_ASM1743792v1_genomic.fna,88.96,3.19,1974610,9242
GCA_017438085.1_ASM1743808v1_genomic.fna,75.87,1.95,1710229,6128
GCA_017438285.1_ASM1743828v1_genomic.fna,82.34,1.46,1652699,34359
GCA_017440275.1_ASM1744027v1_genomic.fna,76.48,2.15,1458038,45023
GCA_017440685.1_ASM1744068v1_genomic.fna,79.48,4.31,1454987,8340
GCA_017442785.1_ASM1744278v1_genomic.fna,93.54,0.0,1732358,54558
GCA_017443385.1_ASM1744338v1_genomic.fna,94.99,8.09,2278247,6763
GCA_017443515.1_ASM1744351v1_genomic.fna,94.1,0.71,1937151,37303
GCA_017445315.1_ASM1744531v1_genomic.fna,75.86,0.0,1290523,68344
GCA_017447665.1_ASM1744766v1_genomic.fna,78.78,0.73,1609383,5873
GCA_017454435.1_ASM1745443v1_genomic.fna,85.27,2.54,1550499,7300
GCA_017457585.1_ASM1745758v1_genomic.fna,67.11,1.91,1436127,6374
GCA_017459895.1_ASM1745989v1_genomic.fna,97.16,3.19,2495951,94527
GCA_017462285.1_ASM1746228v1_genomic.fna,88.29,2.48,1969611,9174
GCA_017469325.1_ASM1746932v1_genomic.fna,71.31,2.13,1118668,6807
GCA_017472365.1_ASM1747236v1_genomic.fna,98.79,1.91,2503942,27213
GCA_017505405.1_ASM1750540v1_genomic.fna,96.69,1.42,2305637,23927
GCA_017509845.1_ASM1750984v1_genomic.fna,77.78,5.39,1949041,5519
GCA_017510505.1_ASM1751050v1_genomic.fna,94.26,0.73,1763451,66980
GCA_017510725.1_ASM1751072v1_genomic.fna,83.1,3.45,2406681,44633
GCA_017511145.1_ASM1751114v1_genomic.fna,90.0,1.42,1722168,6362
GCA_017511535.1_ASM1751153v1_genomic.fna,86.75,1.12,1377549,42774
GCA_017512145.1_ASM1751214v1_genomic.fna,99.29,0.71,2363560,117935
GCA_017512365.1_ASM1751236v1_genomic.fna,89.72,4.61,2457865,91109
GCA_017515425.1_ASM1751542v1_genomic.fna,91.49,0.71,1725877,51822
GCA_017515705.1_ASM1751570v1_genomic.fna,93.68,3.07,1731815,11778
GCA_017515765.1_ASM1751576v1_genomic.fna,84.94,5.78,1688030,7961
GCA_017517185.1_ASM1751718v1_genomic.fna,83.62,1.42,1638467,10843
GCA_017518365.1_ASM1751836v1_genomic.fna,89.38,4.31,1813319,5263
GCA_017521625.1_ASM1752162v1_genomic.fna,93.51,8.5,2892521,6590
GCA_017521745.1_ASM1752174v1_genomic.fna,78.72,4.02,1635226,6049
GCA_017522185.1_ASM1752218v1_genomic.fna,99.29,0.95,2120492,80374
GCA_017523605.1_ASM1752360v1_genomic.fna,84.56,3.07,1526353,7664
GCA_017524345.1_ASM1752434v1_genomic.fna,96.0,2.39,2081442,17980
GCA_017533915.1_ASM1753391v1_genomic.fna,96.81,2.13,2186863,172852
GCA_017534025.1_ASM1753402v1_genomic.fna,70.69,1.89,1393619,15457
GCA_017536365.1_ASM1753636v1_genomic.fna,86.17,1.44,1394111,15495
GCA_017537495.1_ASM1753749v1_genomic.fna,88.71,5.19,2103421,5189
GCA_017538125.1_ASM1753812v1_genomic.fna,94.02,4.96,1810967,19462
GCA_017538845.1_ASM1753884v1_genomic.fna,64.96,1.95,1004446,6454
GCA_017539705.1_ASM1753970v1_genomic.fna,66.29,3.19,1276712,6015
GCA_017543805.1_ASM1754380v1_genomic.fna,78.55,5.32,1758358,7006
GCA_017547345.1_ASM1754734v1_genomic.fna,65.6,1.97,1095960,6568
GCA_017549385.1_ASM1754938v1_genomic.fna,59.64,0.95,1018789,5700
GCA_017556505.1_ASM1755650v1_genomic.fna,95.74,3.55,2397905,18046
GCA_017556895.1_ASM1755689v1_genomic.fna,69.97,0.86,1324644,7832
GCA_017557505.1_ASM1755750v1_genomic.fna,97.25,0.71,2197038,62217
GCA_017612585.1_ASM1761258v1_genomic.fna,90.2,1.06,1471372,23979
GCA_017619385.1_ASM1761938v1_genomic.fna,55.91,0.04,1403619,13469
GCA_017619905.1_ASM1761990v1_genomic.fna,82.55,1.06,1456116,8612
GCA_017619985.1_ASM1761998v1_genomic.fna,85.96,1.44,1864675,8678
GCA_017621195.1_ASM1762119v1_genomic.fna,84.34,2.6,2116157,7428
GCA_017626775.1_ASM1762677v1_genomic.fna,79.91,0.35,1614428,8273
GCA_017626845.1_ASM1762684v1_genomic.fna,96.22,0.71,2275711,40693
GCA_017936025.1_ASM1793602v1_genomic.fna,60.69,0.86,1451685,11549
GCA_017940475.1_ASM1794047v1_genomic.fna,91.7,4.14,1683296,9062
GCA_017941085.1_ASM1794108v1_genomic.fna,89.48,0.0,1656420,74246
GCA_018064645.1_ASM1806464v1_genomic.fna,94.68,0.95,1608310,26346
GCA_018064665.1_ASM1806466v1_genomic.fna,92.55,0.0,1449000,44328
GCA_018064755.1_ASM1806475v1_genomic.fna,94.33,0.0,1385189,80041
GCA_018065295.1_ASM1806529v1_genomic.fna,76.34,1.9,1697658,8916
GCA_018367385.1_ASM1836738v1_genomic.fna,95.89,0.0,1997012,31829
GCA_018367915.1_ASM1836791v1_genomic.fna,99.29,0.71,2187560,123650
GCA_018374315.1_ASM1837431v1_genomic.fna,99.29,0.71,4197882,116053
GCA_018374595.1_ASM1837459v1_genomic.fna,97.52,0.71,2226661,54010
GCA_018378705.1_ASM1837870v1_genomic.fna,96.31,0.0,1985755,43770
GCA_018379575.1_ASM1837957v1_genomic.fna,97.87,0.0,2216699,229940
GCA_018713975.1_ASM1871397v1_genomic.fna,90.07,1.06,1937221,12239
GCA_018714925.1_ASM1871492v1_genomic.fna,91.61,1.3,1983194,16089
GCA_018714945.1_ASM1871494v1_genomic.fna,92.55,0.24,1978265,18687
GCA_018715265.1_ASM1871526v1_genomic.fna,93.44,0.35,1776993,23304
GCA_019113145.1_ASM1911314v1_genomic.fna,99.29,2.36,1819602,22039
GCA_019113685.1_ASM1911368v1_genomic.fna,81.44,0.0,1247837,61861
GCA_019416205.1_ASM1941620v1_genomic.fna,80.91,0.02,1264423,5645
GCA_019416225.1_ASM1941622v1_genomic.fna,95.04,0.0,1497968,141459
GCA_019417565.1_ASM1941756v1_genomic.fna,90.07,0.0,1561857,33424
GCA_019417825.1_ASM1941782v1_genomic.fna,98.23,0.71,2556935,33245
GCA_019420305.1_ASM1942030v1_genomic.fna,97.87,3.55,2917976,116311
GCA_019420525.1_ASM1942052v1_genomic.fna,98.58,0.0,2213844,104251
GCA_019420675.1_ASM1942067v1_genomic.fna,97.52,1.06,2195407,33288
GCA_020558355.1_ASM2055835v1_genomic.fna,99.29,0.0,3068877,144018
GCA_020734085.1_ASM2073408v1_genomic.fna,98.58,1.42,4358853,363759
GCA_021152695.1_ASM2115269v1_genomic.fna,88.53,0.73,1479078,16598
GCA_021442505.1_ASM2144250v1_genomic.fna,67.14,1.21,1459692,20026
GCA_021443825.1_ASM2144382v1_genomic.fna,93.26,1.8,1954029,9399
GCA_021626225.1_ASM2162622v1_genomic.fna,83.53,1.18,1554001,7578
GCA_021629935.1_ASM2162993v1_genomic.fna,93.26,0.71,2273922,6553
GCA_021640385.1_ASM2164038v1_genomic.fna,98.58,0.0,1893897,26754
GCA_021769295.1_ASM2176929v1_genomic.fna,98.58,1.42,2258471,102172
GCA_021769545.1_ASM2176954v1_genomic.fna,78.02,5.29,1682601,5883
GCA_021769965.1_ASM2176996v1_genomic.fna,98.58,0.71,2988648,62889
GCA_022482865.1_ASM2248286v1_genomic.fna,100.0,0.0,2563185,2563185
GCA_022483305.1_ASM2248330v1_genomic.fna,99.29,0.71,2750104,2750104
GCA_022483565.1_ASM2248356v1_genomic.fna,93.62,0.71,2378055,1950538
GCA_022483855.1_ASM2248385v1_genomic.fna,97.87,0.71,2687451,2687451
GCA_022484245.1_ASM2248424v1_genomic.fna,96.45,0.0,2208691,317929
GCA_022642365.1_ASM2264236v1_genomic.fna,98.58,0.71,2157828,93807
GCA_022643575.1_ASM2264357v1_genomic.fna,92.91,0.71,1951942,84071
GCA_022643895.1_ASM2264389v1_genomic.fna,97.16,0.8,2072344,61917
GCA_022644415.1_ASM2264441v1_genomic.fna,96.45,0.71,2115747,64848
GCA_022644845.1_ASM2264484v1_genomic.fna,94.33,0.95,2070473,64850
GCA_022645445.1_ASM2264544v1_genomic.fna,89.01,1.06,1898781,37924
GCA_022645685.1_ASM2264568v1_genomic.fna,86.52,0.71,1873188,24562
GCA_022652985.1_ASM2265298v1_genomic.fna,89.61,0.35,2330015,39452
GCA_022654135.1_ASM2265413v1_genomic.fna,76.9,0.0,1866930,24410
GCA_022655295.1_ASM2265529v1_genomic.fna,89.36,0.0,2001923,45302
GCA_022706625.1_ASM2270662v1_genomic.fna,85.85,1.13,1966901,10794
GCA_022763735.1_ASM2276373v1_genomic.fna,95.39,1.77,2171862,24181
GCA_022764365.1_ASM2276436v1_genomic.fna,95.04,1.24,1889213,26913
GCA_022766365.1_ASM2276636v1_genomic.fna,95.74,0.0,1564117,60882
GCA_022766865.1_ASM2276686v1_genomic.fna,91.78,0.0,2147895,17959
GCA_022767345.1_ASM2276734v1_genomic.fna,99.65,0.0,2604650,65742
GCA_022767945.1_ASM2276794v1_genomic.fna,92.83,1.06,1573234,11928
GCA_022768085.1_ASM2276808v1_genomic.fna,98.94,0.71,1905613,36699
GCA_022769065.1_ASM2276906v1_genomic.fna,98.23,0.71,2015880,41824
GCA_022769385.1_ASM2276938v1_genomic.fna,94.26,0.95,1700201,28618
GCA_022769485.1_ASM2276948v1_genomic.fna,94.68,0.0,1487976,49138
GCA_022770465.1_ASM2277046v1_genomic.fna,92.55,1.06,2022103,38422
GCA_022770665.1_ASM2277066v1_genomic.fna,96.56,3.55,2304202,25482
GCA_022773945.1_ASM2277394v1_genomic.fna,100.0,1.6,1833293,53826
GCA_022774285.1_ASM2277428v1_genomic.fna,95.86,2.48,1723226,21241
GCA_022774615.1_ASM2277461v1_genomic.fna,99.29,0.0,1819439,93813
GCA_022775445.1_ASM2277544v1_genomic.fna,97.16,0.0,2290503,36817
GCA_022775805.1_ASM2277580v1_genomic.fna,93.26,0.71,1490088,14719
GCA_022776865.1_ASM2277686v1_genomic.fna,96.1,0.0,2206460,27285
GCA_022780965.1_ASM2278096v1_genomic.fna,95.37,1.77,1556534,18392
GCA_022781385.1_ASM2278138v1_genomic.fna,94.15,0.0,2149937,33420
GCA_022783285.1_ASM2278328v1_genomic.fna,95.86,0.0,2252765,22596
GCA_022783445.1_ASM2278344v1_genomic.fna,97.87,1.42,4799387,32904
GCA_022784255.1_ASM2278425v1_genomic.fna,93.97,1.65,1548725,17696
GCA_022784565.1_ASM2278456v1_genomic.fna,94.68,1.06,2203270,39531
GCA_022786565.1_ASM2278656v1_genomic.fna,99.29,0.0,1864007,252451
GCA_022787405.1_ASM2278740v1_genomic.fna,92.32,2.84,2337656,12260
GCA_022787445.1_ASM2278744v1_genomic.fna,91.91,1.42,2108329,10538
GCA_022790955.1_ASM2279095v1_genomic.fna,93.23,3.78,2682529,24870
GCA_022791405.1_ASM2279140v1_genomic.fna,100.0,0.0,1818299,132775
GCA_022793795.1_ASM2279379v1_genomic.fna,99.47,0.0,2481975,61806
GCA_022793975.1_ASM2279397v1_genomic.fna,58.93,0.0,1213142,7808
GCA_022794115.1_ASM2279411v1_genomic.fna,97.87,0.0,3588898,58600
GCA_022800615.1_ASM2280061v1_genomic.fna,98.94,0.0,2762366,77549
GCA_022801695.1_ASM2280169v1_genomic.fna,97.16,0.0,3464790,92082
GCA_022802005.1_ASM2280200v1_genomic.fna,98.94,0.0,2885581,77612
GCA_023303005.1_ASM2330300v1_genomic.fna,98.58,0.0,1770007,1770007
GCA_023394035.1_ASM2339403v1_genomic.fna,86.48,0.0,1417410,10149
GCA_023394715.1_ASM2339471v1_genomic.fna,93.62,0.0,1557012,86928
GCA_023396175.1_ASM2339617v1_genomic.fna,98.58,0.71,1608936,98612
GCA_023407535.1_ASM2340753v1_genomic.fna,86.58,0.0,1640824,8584
GCA_023408195.1_ASM2340819v1_genomic.fna,77.59,1.72,1534939,12190
GCA_023415235.1_ASM2341523v1_genomic.fna,91.38,6.9,2978287,77708
