Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	sampleID	out_type
NZ_LWMU01000048.1	NZ_LWMU01000048.1@2	148386	149333	False	0%		III-A	1	['AbiEii_0_CAS-III']	[151]	['7.30e-04']	[0.418]	[0.451]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000136.1	NZ_LWMU01000136.1@1	18515	19114	False	14%	0%	I-A	4	['Csa5gr11_0_CAS-I-A']	[32]	['1.00e-03']	[0.38]	[0.556]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000058.1	NZ_LWMU01000058.1@1	19017	20264	False	0%		III-A	1	['Csx1_9_CAS-III']	[21]	['8.40e-84']	[0.887]	[0.992]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000080.1	NZ_LWMU01000080.1@1	4569	5495	False	0%		IV-B	3	['CysH_0_IVB']	[5]	['1.50e-05']	[0.605]	[0.614]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000081.1	NZ_LWMU01000081.1@2	95505	96017	False	0%		III-B	1	['CorA_1_CAS-III-B']	[82]	['5.50e-03']	[0.491]	[0.704]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000057.1	NZ_LWMU01000057.1@2	18751	19554	False	0%		III-A	1	['AbiEii_0_CAS-III']	[14]	['2.30e-07']	[0.347]	[0.317]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000103.1	NZ_LWMU01000103.1@1	69527	71098	False	0%		III-A	1	['AbiEii_0_CAS-III']	[88]	['5.90e-08']	[0.445]	[0.532]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000046.1	NZ_LWMU01000046.1@1	22256	24106	False	20%		IV-A1	2	['Csf4_0_IVA']	[20]	['1.30e-14']	[0.47]	[0.476]	1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000092.1	NZ_LWMU01000092.1@3	48474	49178	False	0%		III-A	1	['AbiEii_0_CAS-III']	[50]	['5.60e-06']	[0.472]	[0.373]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000079.1	NZ_LWMU01000079.1@1	2814	3647	False	0%		III-A	1	['AbiEii_0_CAS-III']	[5]	['3.20e-06']	[0.417]	[0.384]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000092.1	NZ_LWMU01000092.1@2	24415	24906	False	29%	0%	I-A	2	['Cas3HD_0_CAS-I']	[24]	['2.60e-03']	[0.415]	[0.414]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000022.1	NZ_LWMU01000022.1@1	17067	17549	False	25%		III-F	4	['SSgr11_1_CAS-III-F']	[17]	['2.40e-03']	[0.441]	[0.722]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000063.1	NZ_LWMU01000063.1@2	8883	9704	False	0%		III-A	1	['AbiEii_0_CAS-III']	[10]	['7.10e-03']	[0.445]	[0.44]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000060.1	NZ_LWMU01000060.1@1	5150	5494	False	0%	0%	I-B	4	['Cas11b_0_CAS-I-B']	[9]	['2.80e-03']	[0.748]	[0.476]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000041.1	NZ_LWMU01000041.1@1	19534	20769	False	0%	33%	I-A	1	['Cas4_0_I-II']	[22]	['9.40e-09']	[0.502]	[0.8]		-1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000047.1	NZ_LWMU01000047.1@1	4405	5130	False	0%	33%	I-A	1	['Cas4_0_I-II']	[7]	['1.70e-13']	[0.756]	[0.961]		-1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000062.1	NZ_LWMU01000062.1@1	15020	15862	False	0%		III-A	1	['AbiEii_0_CAS-III']	[18]	['1.90e-09']	[0.505]	[0.472]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000081.1	NZ_LWMU01000081.1@1	35401	36357	False	0%		III-B	1	['htpX_0_CAS-III-B']	[31]	['1.00e-09']	[0.395]	[0.397]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000055.1	NZ_LWMU01000055.1@1	1803	2387	False	0%		IV-B	3	['CysH_0_IVB']	[6]	['3.80e-03']	[0.523]	[0.414]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000070.1	NZ_LWMU01000070.1@1	7583	10177	False	14%	0%	I-A	1	['Cas3_0_I']	[10]	['1.50e-13']	[0.428]	[0.922]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000046.1	NZ_LWMU01000046.1@2	26351	26923	False	0%		III-A	3	['Csx21_0_CAS-III-A']	[25]	['8.40e-03']	[0.408]	[0.357]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000064.1	NZ_LWMU01000064.1@1	14455	15741	False	0%		III-A	1	['AbiEii_0_CAS-III']	[11]	['2.30e-11']	[0.392]	[0.574]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000092.1	NZ_LWMU01000092.1@1	6721	7857	False	0%		III-B	1	['TPR_1_CAS-III-B']	[9]	['2.90e-05']	[0.515]	[0.337]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000011.1	NZ_LWMU01000011.1@2	38176	44169	False	14%	0%	I-A	2	['Cas6_3_CAS-I-II-III-IV-V-VI', 'AbiEii_0_CAS-III']	[41, 43]	['5.60e-80', '2.60e-04']	[0.947, 0.409]	[0.971, 0.324]	1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000092.1	NZ_LWMU01000092.1@4	65254	65568	False	0%		III-B	3	['Csx16_0_CAS-III-B']	[77]	['4.70e-04']	[0.448]	[0.495]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000070.1	NZ_LWMU01000070.1@3	104531	107088	False	14%	0%	I-A	2	['CasR_1_CAS-I-II-III-IV-V-VI', 'Cas6_0_CAS-I-A-III-D']	[109, 110]	['1.70e-06', '2.00e-03']	[0.312, 0.488]	[0.486, 0.313]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000061.1	NZ_LWMU01000061.1@1	7472	7939	False	0%	0%	I-C	1	['HEAT_CxxC_PDDEXK_0_CAS-I-C']	[9]	['5.40e-06']	[0.647]	[0.382]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000052.1	NZ_LWMU01000052.1@1	3811	4596	False	0%	33%	I-A	1	['Cas4_0_I-II']	[5]	['1.50e-22']	[0.698]	[0.994]		1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000011.1	NZ_LWMU01000011.1@1	11903	12586	False	0%		III-A	1	['AbiEii_0_CAS-III']	[13]	['2.10e-06']	[0.465]	[0.356]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000011.1	NZ_LWMU01000011.1@3	50255	54222	False	20%		IV-A1	2	['Csf4_0_IVA', 'AbiEii_0_CAS-III']	[51, 52]	['4.60e-12', '6.00e-07']	[0.325, 0.474]	[0.456, 0.468]	1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000050.1	NZ_LWMU01000050.1@1	2887	3393	False	17%		III-D	3	['Csx19_15_CAS-III-D']	[2]	['1.10e-03']	[0.497]	[0.47]	-1		GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000136.1	NZ_LWMU01000136.1@2	35743	36498	False	0%		III-A	1	['AbiEii_0_CAS-III']	[54]	['5.10e-04']	[0.401]	[0.359]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000059.1	NZ_LWMU01000059.1@2	46022	48970	False	14%	33%	I-A	2	['Cas4_0_I-II', 'Cas3_0_I']	[45, 47]	['2.90e-18', '1.70e-14']	[0.831, 0.571]	[0.989, 0.709]	1	-1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000114.1	NZ_LWMU01000114.1@1	30967	31443	False	0%	0%	I-A	0	['CasR_1_CAS-I-II-III-IV-V-VI']	[30]	['2.50e-07']	[0.409]	[0.312]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000050.1	NZ_LWMU01000050.1@2	15262	18808	False	0%		III-A	2	['Csx1_16_CAS-III', 'AbiEii_0_CAS-III']	[18, 20]	['7.40e-09', '1.30e-09']	[0.686, 0.312]	[0.467, 0.461]			GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000071.1	NZ_LWMU01000071.1@2	9341	9691	False	0%	33%	I-A	1	['Cas2_0_I-II-III']	[14]	['4.00e-12']	[0.692]	[0.917]		1	GCF_001639275.1_ASM163927v1_genomic	putative
NZ_LWMU01000070.1	NZ_LWMU01000070.1@2	27041	28051	False	0%		IV-B	3	['CysH_0_IVB']	[29]	['5.80e-06']	[0.433]	[0.59]			GCF_001639275.1_ASM163927v1_genomic	putative
