Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation	Oral_site	Industry	BinID	out_type
NODE_1_length_390321_cov_15.77	NODE_1_length_390321_cov_15.77@8	154005	163306	III-A	100%		III-A	20	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4_0_IIIA', 'Csm5_0_IIIA', 'Cas6_8_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III']	[137, 138, 139, 140, 141, 142, 143, 144, 145]	['4.20e-88', '3.20e-15', '6.00e-193', '3.50e-20', '1.00e-69', '1.80e-30', '4.80e-27', '8.50e-18', '5.40e-47']	[0.952, 0.694, 0.89, 0.857, 0.872, 0.943, 0.877, 0.907, 0.842]	[0.994, 0.633, 1.0, 0.982, 0.958, 0.97, 0.92, 0.855, 0.995]	1		buccal_mucosa	industrial	HMP_2012__SRS013239__bin.9	known
NODE_168_length_10131_cov_7.84686	NODE_168_length_10131_cov_7.84686@1	1	4283	II-A	100%	100%	II-A	9	['Cas9_1_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Csn2_1_CAS-II-A']	[1, 2, 3, 4]	['1.30e-199', '4.10e-103', '5.70e-50', '9.30e-101']	[0.993, 0.931, 0.965, 0.982]	[0.653, 0.996, 0.983, 0.995]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013825__bin.3	known
NODE_49_length_39600_cov_9.03576	NODE_49_length_39600_cov_9.03576@1	26453	36221	I-G	100%	100%	I-G	20	['Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Csb1gr7_0_CAS-I-U', 'Csb2gr5_0_CAS-I-U', 'Cas3_0_IU', 'Csb3_0_CAS-I-U']	[25, 26, 28, 29, 30, 31]	['3.30e-90', '5.00e-21', '9.50e-34', '8.70e-88', '4.50e-99', '5.70e-145']	[0.583, 0.63, 0.418, 0.977, 0.956, 0.977]	[0.987, 0.797, 0.976, 0.996, 0.984, 1.0]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013825__bin.4	known
NODE_123_length_15372_cov_5.96664	NODE_123_length_15372_cov_5.96664@1	6262	14546	I-C	100%	100%	I-C	21	['Cas3_1_CAS-I', 'Cas5_0_CAS-I-C', 'Cas8c_0_IC', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[6, 7, 8, 9, 10, 11, 12]	['3.60e-63', '1.20e-77', '1.20e-133', '2.40e-117', '3.60e-38', '4.00e-133', '4.60e-28']	[0.561, 0.917, 0.98, 0.955, 0.894, 0.985, 0.845]	[0.616, 0.995, 0.998, 0.989, 0.989, 0.997, 0.975]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013881__bin.5	known
NODE_53_length_29856_cov_14.8802	NODE_53_length_29856_cov_14.8802@1	12114	26985	III-A	100%		III-A	20	['Cas10_0_IIIA', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A-III-D', 'Csm5gr7_3_CAS-III-A-III-D', 'Cas6_10_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Csx1_3_CAS-III', 'Csx16_3_CAS-I-III', 'Can2_Card1_17_CAS-III']	[10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]	['5.80e-145', '4.70e-20', '5.60e-69', '2.70e-113', '7.00e-28', '2.30e-96', '1.80e-14', '2.10e-71', '9.20e-14', '3.10e-73', '1.20e-28', '6.60e-86']	[0.835, 0.626, 0.916, 0.978, 0.482, 0.947, 0.62, 0.857, 0.742, 0.528, 0.929, 0.964]	[1.0, 0.818, 0.963, 0.981, 0.621, 0.984, 0.848, 0.996, 0.886, 0.995, 0.989, 0.995]	1		buccal_mucosa	industrial	HMP_2012__SRS013881__bin.8	known
NODE_15_length_220540_cov_26.4878	NODE_15_length_220540_cov_26.4878@2	25162	34395	I-E	100%	100%	I-E	26	['Cas3_1_CAS-I', 'Cas8e_1_CAS-I-E', 'Cse2gr11_1_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_0_CAS-I-E', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas2_1_CAS-I-II-III-IV-V-VI']	[20, 22, 23, 24, 25, 26, 27, 28]	['8.00e-77', '6.90e-106', '2.00e-25', '1.90e-97', '2.10e-52', '1.20e-45', '1.70e-113', '2.90e-28']	[0.455, 0.897, 0.762, 0.933, 0.702, 0.974, 0.883, 0.904]	[0.507, 1.0, 1.0, 0.922, 0.978, 1.0, 0.952, 0.828]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013945__bin.1	known
NODE_1390_length_4866_cov_2.77011	NODE_1390_length_4866_cov_2.77011@1	655	4751	I-G	75%	0%	I-G	14	['Cas8u2_2_CAS-I-U', 'Cas6e_1_CAS-I-II-III-IV-V-VI', 'Csb1_0_IU', 'Csb2gr5_0_CAS-I-U']	[2, 3, 4, 5]	['9.90e-152', '2.80e-09', '2.50e-80', '2.50e-31']	[0.993, 0.708, 0.53, 0.715]	[0.965, 0.689, 1.0, 0.606]	1		buccal_mucosa	industrial	HMP_2012__SRS013945__bin.12	known
NODE_14_length_221026_cov_260.104	NODE_14_length_221026_cov_260.104@3	144406	157113	I-C	100%	100%	I-C	21	['Cas3_1_CAS-I', 'Cas5_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas7_1_CAS-I-C', 'Cas4_0_I-II', 'Cas1_0_IC', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[141, 145, 146, 147, 148, 151, 152]	['9.70e-59', '1.90e-88', '3.00e-188', '1.10e-117', '5.60e-42', '2.10e-150', '7.80e-26']	[0.442, 0.938, 0.976, 0.969, 0.833, 0.988, 0.847]	[0.482, 1.0, 0.998, 0.996, 1.0, 1.0, 0.987]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013945__bin.13	known
NODE_198_length_20410_cov_8.44377	NODE_198_length_20410_cov_8.44377@1	10228	18877	I-B	100%	100%	I-B	19	['Cas6_0_I-III', 'Cas8b2_7_CAS-I-B', 'Cas7_0_CAS-I', 'Cas5_8_CAS-I-B', 'Cas3_1_CAS-I', 'Cas4_5_CAS-I-II-III-IV-V-VI', 'Cas1_6_CAS-I-II-III-IV-V-VI', 'Cas2_4_CAS-I-II-III-IV-V-VI']	[12, 13, 14, 15, 16, 17, 18, 19]	['1.60e-24', '2.10e-256', '4.20e-60', '3.70e-77', '4.30e-133', '6.60e-50', '6.50e-136', '7.60e-30']	[0.772, 0.949, 0.742, 0.619, 0.969, 0.958, 0.973, 0.978]	[0.985, 1.0, 1.0, 1.0, 0.988, 0.994, 0.997, 0.989]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013945__bin.15	known
NODE_411_length_11486_cov_6.78331	NODE_411_length_11486_cov_6.78331@1	74	7675	III-A	100%		III-A	15	['Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A', 'Csm5gr7_0_CAS-III-A-III-D', 'Cas6_6_IVD', 'Csm6_7_CAS-III']	[1, 2, 3, 4, 5, 6, 7]	['4.50e-206', '4.40e-19', '3.90e-71', '1.00e-42', '4.80e-18', '1.10e-17', '1.10e-38']	[0.82, 0.911, 0.856, 0.967, 0.889, 0.855, 0.774]	[0.998, 0.927, 0.972, 0.99, 0.945, 0.815, 0.67]	1		buccal_mucosa	industrial	HMP_2012__SRS013945__bin.15	known
NODE_502_length_9937_cov_8.00455	NODE_502_length_9937_cov_8.00455@1	463	6427	II-A	100%	100%	II-A	9	['Cas9_0_II', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Csn2_0_CAS-II-A']	[1, 2, 3, 4]	['2.40e-199', '2.10e-92', '2.10e-33', '9.20e-57']	[0.838, 0.922, 0.951, 0.991]	[0.99, 1.0, 0.853, 1.0]	1	1	buccal_mucosa	industrial	HMP_2012__SRS013945__bin.15	known
NODE_17_length_203734_cov_38.835	NODE_17_length_203734_cov_38.835@1	9164	18946	I-E	100%	100%	I-E	26	['Cas2_10_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas5_0_IE', 'Cas7_1_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas8e_4_CAS-I-E', 'Cas3_0_CAS-I']	[5, 6, 7, 8, 9, 10, 11, 12]	['1.70e-32', '3.20e-109', '3.60e-57', '6.00e-49', '2.50e-124', '2.20e-34', '4.70e-98', '2.20e-68']	[0.752, 0.85, 0.974, 0.821, 0.947, 0.746, 0.851, 0.412]	[1.0, 0.989, 1.0, 0.991, 0.994, 0.986, 0.994, 0.907]	0	-1	buccal_mucosa	industrial	HMP_2012__SRS013945__bin.17	known
NODE_33_length_103938_cov_12.9672	NODE_33_length_103938_cov_12.9672@3	77328	86724	III-A	100%		III-A	18	['Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_1_CAS-III-A', 'Csm5gr7_0_CAS-III-A-III-D', 'Cas6_15_CAS-I-II-III-IV-V-VI', 'Csm6_7_CAS-III', 'Cas1_0_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI']	[62, 63, 64, 65, 66, 67, 69, 70, 71]	['2.30e-217', '4.10e-17', '1.50e-66', '2.80e-33', '2.20e-20', '9.20e-17', '1.10e-46', '3.30e-90', '7.80e-23']	[0.817, 0.743, 0.86, 0.922, 0.761, 0.429, 0.977, 0.949, 0.717]	[1.0, 0.945, 0.949, 0.921, 0.756, 1.0, 0.909, 0.991, 0.835]	1		buccal_mucosa	industrial	HMP_2012__SRS013945__bin.6	known
NODE_33_length_103938_cov_12.9672	NODE_33_length_103938_cov_12.9672@2	59529	69946	III-D	67%		III-D	17	['Cas2_11_CAS-I-II-III-IV-V-VI', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Csx20_1_CAS-I-III', 'Cas10_7_CAS-III', 'Csm3gr7_11_CAS-III-A-III-D', 'Csx10_0_IIID', 'Csm3gr7_2_CAS-III-A-III-D', 'Csx19_1_CAS-III-D', 'Csm3_0_IIIAD', 'Cas6_15_CAS-I-II-III-IV-V-VI']	[48, 49, 50, 51, 52, 53, 54, 55, 56, 57]	['1.20e-17', '6.10e-77', '6.70e-57', '3.30e-82', '8.40e-37', '9.10e-13', '3.70e-33', '4.50e-52', '8.90e-155', '1.90e-14']	[0.902, 0.846, 0.992, 0.783, 0.926, 0.472, 0.665, 0.989, 0.909, 0.425]	[0.972, 0.996, 1.0, 0.988, 0.907, 0.6, 0.994, 0.985, 0.969, 0.982]	1		buccal_mucosa	industrial	HMP_2012__SRS013945__bin.6	known
NODE_139_length_13484_cov_8.19413	NODE_139_length_13484_cov_8.19413@1	10759	13482	II-A	100%	100%	II-A	9	['Cas1_4_CAS-I-II-III-IV-V-VI', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Csn2_1_CAS-II-A', 'Cas9_0_II']	[9, 10, 11, 12]	['2.80e-95', '7.20e-47', '4.90e-85', '6.20e-54']	[0.931, 0.965, 0.978, 0.847]	[0.996, 0.966, 0.991, 0.18]	1	1	buccal_mucosa	industrial	HMP_2012__SRS015040__bin.9	known
NODE_18_length_75472_cov_11.5999	NODE_18_length_75472_cov_11.5999@1	21940	23658	V-F2	100%	0%	V-F2	4	['Cas12f2_2_CAS-V-F']	[20]	['9.30e-179']	[0.937]	[0.966]	1		buccal_mucosa	industrial	HMP_2012__SRS015154__bin.4	known
NODE_19_length_70903_cov_8.38432	NODE_19_length_70903_cov_8.38432@2	56383	66978	I-G	100%	100%	I-G	20	['Csb3_0_CAS-I-U', 'Cas3_0_IU', 'Csb2gr5_0_CAS-I-U', 'Csb1gr7_0_CAS-I-U', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI']	[42, 43, 44, 45, 47, 48]	['2.80e-147', '1.90e-98', '1.40e-86', '1.30e-29', '1.10e-20', '1.90e-88']	[0.977, 0.956, 0.977, 0.454, 0.63, 0.583]	[1.0, 0.984, 0.996, 0.976, 0.797, 0.987]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS015154__bin.4	known
NODE_4424_length_2075_cov_1.94653	NODE_4424_length_2075_cov_1.94653@1	2	2075	III-A	60%		III-A	10	['Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_0_IIIA']	[1, 2, 3]	['1.30e-55', '1.80e-20', '3.60e-51']	[0.935, 0.823, 0.656]	[0.772, 0.927, 0.357]	-1		buccal_mucosa	industrial	HMP_2012__SRS015436__bin.6	known
NODE_176_length_11966_cov_14.9355	NODE_176_length_11966_cov_14.9355@1	90	8576	III-A	100%		III-A	16	['Cas6_0_CAS-I-II-III-IV-V-VI', 'Cas10_1_CAS-III', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_1_CAS-III-A', 'Csm5gr7_1_CAS-III-A-III-D', 'Csm6_1_CAS-III', 'Csm6_1_CAS-III']	[1, 2, 3, 4, 5, 6, 7, 8]	['6.90e-28', '2.30e-164', '8.10e-24', '1.70e-72', '2.40e-41', '4.90e-30', '1.00e-72', '4.20e-86']	[0.791, 0.81, 0.914, 0.919, 0.987, 0.776, 0.848, 0.856]	[0.912, 1.0, 0.982, 0.981, 0.984, 0.843, 0.911, 0.981]	1		buccal_mucosa	industrial	HMP_2012__SRS015745__bin.13	known
NODE_778_length_4721_cov_3.26961	NODE_778_length_4721_cov_3.26961@1	3	4719	I-G	50%	100%	I-G	12	['Csb2gr5_0_CAS-I-U', 'Csb1gr7_0_CAS-I-U', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_CAS-I-II-III-IV-V-VI']	[1, 2, 4, 5]	['7.90e-70', '9.20e-34', '5.20e-21', '1.60e-69']	[0.976, 0.418, 0.63, 0.942]	[0.847, 0.976, 0.797, 0.662]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS015745__bin.15	known
NODE_45_length_35759_cov_15.7653	NODE_45_length_35759_cov_15.7653@1	3	12031	I-C	100%	67%	I-C	19	['Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas5_1_CAS-I-C', 'Cas3_1_CAS-I']	[1, 3, 4, 5, 6, 9]	['4.50e-126', '1.70e-41', '6.20e-118', '2.70e-188', '2.40e-88', '5.90e-57']	[0.993, 0.818, 0.969, 0.976, 0.942, 0.448]	[0.879, 1.0, 0.996, 0.998, 1.0, 0.483]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS015745__bin.9	known
NODE_518_length_7078_cov_15.9335	NODE_518_length_7078_cov_15.9335@1	566	6929	III-A	100%		III-A	14	['Cas10_0_IIIA', 'Csm2gr11_7_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm4gr5_0_CAS-III-A-III-D', 'Csm5gr7_3_CAS-III-A-III-D']	[1, 2, 3, 4, 5]	['6.40e-145', '5.10e-20', '6.20e-69', '3.00e-113', '7.70e-28']	[0.835, 0.626, 0.916, 0.978, 0.482]	[1.0, 0.818, 0.963, 0.981, 0.621]	1		buccal_mucosa	industrial	HMP_2012__SRS015799__bin.2	known
NODE_111_length_18874_cov_15.0752	NODE_111_length_18874_cov_15.0752@1	10519	18791	I-A	14%	67%	I-A	7	['Can2_Card1_17_CAS-III', 'Csx16_3_CAS-I-III', 'Csx1_3_CAS-III', 'Cas1_8_CAS-I-II-III-IV-V-VI', 'Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas6_10_CAS-I-II-III-IV-V-VI']	[8, 9, 10, 11, 12, 13]	['7.30e-86', '1.30e-28', '3.40e-73', '2.30e-71', '2.00e-14', '2.50e-96']	[0.964, 0.929, 0.528, 0.857, 0.62, 0.947]	[0.995, 0.989, 0.995, 0.996, 0.848, 0.984]	-1	1	buccal_mucosa	industrial	HMP_2012__SRS015799__bin.2	known
NODE_263_length_10987_cov_15.7001	NODE_263_length_10987_cov_15.7001@1	763	10188	I-C	100%	100%	I-C	21	['Cas2_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IC', 'Cas4_0_I-II', 'Cas7_0_IC', 'Cas8c_3_CAS-I-C', 'Cas5_0_IC', 'Cas3_1_CAS-I']	[3, 4, 6, 7, 8, 9, 10]	['2.60e-27', '4.60e-150', '7.30e-42', '5.20e-94', '9.70e-112', '4.30e-76', '5.20e-63']	[0.847, 0.988, 0.829, 0.848, 0.958, 0.817, 0.592]	[0.987, 1.0, 1.0, 0.88, 0.996, 0.98, 0.647]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS015799__bin.2	known
NODE_150_length_11894_cov_8.34201	NODE_150_length_11894_cov_8.34201@1	1879	11661	I-E	100%	100%	I-E	26	['Cas3_0_CAS-I', 'Cas8e_4_CAS-I-E', 'Cse2gr11_7_CAS-I-E', 'Cas7_1_CAS-I-E', 'Cas5_0_IE', 'Cas6e_2_CAS-I-II-III-IV-V-VI', 'Cas1_0_IE', 'Cas2_10_CAS-I-II-III-IV-V-VI']	[2, 3, 4, 5, 6, 7, 8, 9]	['4.90e-68', '8.40e-98', '3.90e-34', '3.10e-124', '1.10e-48', '6.40e-57', '5.70e-109', '3.10e-32']	[0.412, 0.851, 0.746, 0.947, 0.821, 0.974, 0.85, 0.752]	[0.907, 0.994, 0.986, 0.994, 0.991, 1.0, 0.989, 1.0]	0	1	buccal_mucosa	industrial	HMP_2012__SRS015895__bin.10	known
NODE_6_length_154478_cov_16.3487	NODE_6_length_154478_cov_16.3487@1	1787	10123	I-C	100%	33%	I-C	15	['Cas4_0_I-II', 'Cas7_1_CAS-I-C', 'Cas8c_1_CAS-I-C', 'Cas5_1_CAS-I-C', 'Cas3_1_CAS-I']	[4, 5, 6, 7, 9]	['1.30e-42', '1.50e-117', '1.20e-188', '9.40e-88', '1.10e-58']	[0.833, 0.969, 0.976, 0.942, 0.442]	[1.0, 0.996, 0.998, 1.0, 0.482]	-1	-1	buccal_mucosa	industrial	HMP_2012__SRS015921__bin.10	known
NODE_2854_length_1937_cov_2.73486	NODE_2854_length_1937_cov_2.73486@1	16	1893	II-A	0%	100%	II-A	7	['Csn2_0_CAS-II-A', 'Cas2_5_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI']	[1, 2, 3]	['8.20e-66', '1.40e-33', '1.10e-89']	[0.996, 0.98, 0.9]	[1.0, 0.879, 0.996]		-1	buccal_mucosa	industrial	HMP_2012__SRS015921__bin.12	known
NODE_964_length_4378_cov_4.13023	NODE_964_length_4378_cov_4.13023@1	300	4376	III-A	80%		III-A	12	['Csm4gr5_1_CAS-III-A', 'Csm3gr7_1_CAS-III-A-III-D', 'Csm2gr11_7_CAS-III-A', 'Cas10_1_CAS-III']	[2, 3, 4, 5]	['6.50e-40', '2.10e-73', '5.80e-23', '1.80e-157']	[0.987, 0.91, 0.921, 0.829]	[0.984, 0.972, 0.982, 0.957]	-1		buccal_mucosa	industrial	HMP_2012__SRS015921__bin.4	known
NODE_200_length_12546_cov_8.43207	NODE_200_length_12546_cov_8.43207@1	4436	11314	I-G	100%	0%	I-G	18	['Cas3_0_IU', 'Cas8u2_2_CAS-I-U', 'Cas6e_1_CAS-I-II-III-IV-V-VI', 'Csb1_0_IU', 'Csb2gr5_0_CAS-I-U']	[4, 5, 6, 7, 8]	['0.00e+00', '5.80e-158', '6.40e-09', '5.10e-79', '1.30e-31']	[0.988, 0.993, 0.714, 0.53, 0.713]	[0.999, 0.965, 0.693, 1.0, 0.604]	1		buccal_mucosa	industrial	HMP_2012__SRS015921__bin.6	known
NODE_19_length_105619_cov_32.606	NODE_19_length_105619_cov_32.606@2	37647	42714	II-A	0%	100%	II-A	7	['Csn2_0_CAS-II-A', 'Cas2_9_CAS-I-II-III-IV-V-VI', 'Cas1_4_CAS-I-II-III-IV-V-VI', 'CysH_0_IVB']	[28, 29, 30, 34]	['2.70e-64', '9.60e-39', '4.80e-96', '1.00e-29']	[0.996, 0.942, 0.925, 0.67]	[1.0, 0.97, 1.0, 0.863]		-1	buccal_mucosa	industrial	HMP_2012__SRS015985__bin.22	known
