genome1,genome2,dist,similarity
GCA_015063035.1_ASM1506303v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902802065.1_Rumen_uncultured_genome_RUG14729_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
ERS11702764-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017407115.1_ASM1740711v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.12827003,0.87172997
ERS11702809_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6256699-megahit_018.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCF_000404165.1_ASM40416v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_902762245.1_Rumen_uncultured_genome_RUG10743_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256698_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902765875.1_Rumen_uncultured_genome_RUG11103_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS2985766-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS6256704-megahit_017.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
SRS11653591-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
SRS6212660_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_900316635.1_Rumen_uncultured_genome_RUG201_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_015063065.1_ASM1506306v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.02516067,0.9748393
GCA_016838945.1_ASM1683894v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6205398-megahit_009.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS11702780-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702781-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS4625245-megahit_011.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702790-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS2985775-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS6256693-megahit_010.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_016298175.1_ASM1629817v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902786095.1_Rumen_uncultured_genome_RUG13139_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902784295.1_Rumen_uncultured_genome_RUG12954_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS7212790-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902764425.1_Rumen_uncultured_genome_RUG10959_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.164662,0.835338
ERS11702757-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902793795.1_Rumen_uncultured_genome_RUG13902_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS3774474-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS6256692-megahit_010.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6205388-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256706_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902781365.1_Rumen_uncultured_genome_RUG12666_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256687_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCA_905235185.1_RUG30205_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.13857198,0.861428
GCF_002252585.1_ASM225258v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS15300792-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS3887047-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS6205401-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
CMC018.B-metaspades_092.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS2985744-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS3078195-megahit_019.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
SRS15300790-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_017622775.1_ASM1762277v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.164662,0.835338
GCA_902762085.1_Rumen_uncultured_genome_RUG10738_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS3774468-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERSX0004103-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902780425.1_Rumen_uncultured_genome_RUG12567_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS2985777-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902789715.1_Rumen_uncultured_genome_RUG13492_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_902801725.1_Rumen_uncultured_genome_RUG14697_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.20360398,0.796396
ERS6256694-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_015062915.1_ASM1506291v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS2985748-megahit_012.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902795335.1_Rumen_uncultured_genome_RUG14054_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS11702775-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS2985774-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCF_001563245.1_ASM156324v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_902775725.1_Rumen_uncultured_genome_RUG12100_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902781855.1_Rumen_uncultured_genome_RUG12711_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
SRS9263822-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_900314635.1_Rumen_uncultured_genome_RUG020_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERSX0004004-megahit_009.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS6212655-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCA_902764555.1_Rumen_uncultured_genome_RUG10969_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256701-megahit_008.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017634055.1_ASM1763405v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS2985765-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
SRS15300801-megahit_008.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902785715.1_Rumen_uncultured_genome_RUG13099_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6205397-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_017406825.1_ASM1740682v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS11702752_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
SRS15300802-megahit_016.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702801-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS6205384_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS3774422-megahit_018.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_000437055.1_MGS186_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS11702722-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS15300787-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_900318035.1_Rumen_uncultured_genome_RUG344_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702783-megahit_006.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS11702806-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
SRS11653594-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_015062905.1_ASM1506290v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERSX0004077-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_900314615.1_Rumen_uncultured_genome_RUG018_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_017468685.1_ASM1746868v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERSX0004024-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS6256709_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
SRS3078197-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902771225.1_Rumen_uncultured_genome_RUG11657_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.14025801,0.859742
SRS15300808-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERSX0004057-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6205391-megahit_008.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902772665.1_Rumen_uncultured_genome_RUG11794_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_015063015.1_ASM1506301v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_017473945.1_ASM1747394v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
SRS15300805-megahit_015.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS2985780-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERSX0004083-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS11702746-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCF_000151225.1_ASM15122v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902798025.1_Rumen_uncultured_genome_RUG14331_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.14200902,0.857991
ERS4042423-megahit_017.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
SRS6212656-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS3636092-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_905213915.1_SRR5580226-mag-bin.17_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERSX0004078-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_015063005.1_ASM1506300v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.17440802,0.825592
ERS2985746-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702760-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCF_000320505.1_ASM32050v2_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCF_000016525.1_ASM1652v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS6205403-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCF_003111625.1_ASM311162v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_902770715.1_Rumen_uncultured_genome_RUG11588_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCA_002496065.1_ASM249606v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_016294135.1_ASM1629413v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS11702811-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS3774463-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902784195.1_Rumen_uncultured_genome_RUG12946_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902788375.1_Rumen_uncultured_genome_RUG13366_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
CMC022.B-metaspades_058.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_017460025.1_ASM1746002v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.17092597,0.829074
ERS11702724-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS6205402-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256699-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_017545145.1_ASM1754514v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERSX0004085-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS7212804-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702739-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
SRS7967576-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
SRS7212802-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_905209735.1_ERR260234-mag-bin.14_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS11702729-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017512765.1_ASM1751276v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS2985784-megahit_016.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902786715.1_Rumen_uncultured_genome_RUG13199_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERSX0004102-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS6955108-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902777105.1_Rumen_uncultured_genome_RUG12237_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902777885.1_Rumen_uncultured_genome_RUG12316_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.12571502,0.874285
ERS11702805-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS15300811-megahit_016.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS6256689-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
SRS15300788-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
SRS3078200-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.20360398,0.796396
GCF_001477655.1_ASM147765v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.14770699,0.852293
ERS6205392-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902782595.1_Rumen_uncultured_genome_RUG12789_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
ERS11702779-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS6212649-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_017519255.1_ASM1751925v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS11702776-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
SRS7212788-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS2985761-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_902785855.1_Rumen_uncultured_genome_RUG13115_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
SRS7890498-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
ERSX0002001-megahit_041.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS6205390_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS2985751-megahit_004.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_902789165.1_Rumen_uncultured_genome_RUG13441_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS3395767_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6256701-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS6256713-megahit_010.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERS11702800_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256700-megahit_008.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902775005.1_Rumen_uncultured_genome_RUG12025_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCF_002208625.1_ASM220862v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_900766745.1_SRS475589_67_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
ERS6256698_26.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902406285.1_UHGG_MGYG-HGUT-04283_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
SRS3078204-megahit_013.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCF_003111605.1_ASM311160v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_902774505.1_Rumen_uncultured_genome_RUG11980_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
ERS6256718-megahit_006.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
GCA_900315215.1_Rumen_uncultured_genome_RUG076_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_009784145.1_ASM978414v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902788255.1_Rumen_uncultured_genome_RUG13354_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6256688-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
SRS6212660_25.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_902775675.1_Rumen_uncultured_genome_RUG12086_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS11702771_24.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS3774441-megahit_007.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_002509605.1_ASM250960v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
ERS11702770-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS11702795-megahit_002.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCA_902781165.1_Rumen_uncultured_genome_RUG12644_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.149777,0.850223
ERS6636085-megahit_010.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
SRS11653545_22.0.refbinned.fa,GCA_017434555.1_ASM1743455v1_genomic.fna,1.0,0.0
GCA_900315355.1_Rumen_uncultured_genome_RUG092_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_015062985.1_ASM1506298v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
ERS6636099-megahit_015.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
GCA_905233225.1_RUG30013_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017409525.1_ASM1740952v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_017459665.1_ASM1745966v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.19173098,0.808269
ERS11702814-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
ERS11702747-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
ERS11702731-megahit_001.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.243761,0.756239
ERSX0004066-megahit_005.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.219531,0.780469
GCF_001639285.1_ASM163928v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.295981,0.704019
GCA_902758515.1_Rumen_uncultured_genome_RUG10376_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
GCA_015062925.1_ASM1506292v1_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.21089697,0.78910303
ERS6256727-megahit_003.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.263022,0.736978
GCA_902802295.1_Rumen_uncultured_genome_RUG14756_genomic.fna,GCA_017434555.1_ASM1743455v1_genomic.fna,0.23010999,0.76989
