out_type	Class	Industry	Bin	Type	Sub_type	Alt_sub_type	Full_type	GC_pct	completeness	contamination	checkM2.completeness	checkM2.contamination	primary_cluster	secondary_cluster	length	N50	gtdb_taxonomy	MAG_source	fBAPS_l1	fBAPS_l2	Study	Age_BP	Continent	Country	sample_host	Host	GUNC.n_contigs	checkM.N50_contigs	QUAL	Secondary_sample_accession	latitude	longitude	Present
known	2	ancient	ERS11702731.bin.r.10	II	A		II-A	42.5	94.33	0	100	0.32	211	211_1	1472495	26752	g__RGIG7111;s__	Ancient	3	7	Velsko2022	500	Europe	Spain	Homo	Human	103	26752	High_w_GUNC	ERS11702731	38.247	-0.808	Yes
known	1	ancient	ERS11702732.bin.r.2	I	E		I-E	42.3	94.33	0	98.15	0.09	211	211_1	1452745	104884	g__RGIG7111;s__	Ancient	6	19	Velsko2022	500	Europe	Spain	Homo	Human	24	104884	High_w_GUNC	ERS11702732	38.247	-0.808	Yes
known	2	ancient	ERS11702732.bin.r.2	II	D		II-D	42.3	94.33	0	98.15	0.09	211	211_1	1452745	104884	g__RGIG7111;s__	Ancient	6	19	Velsko2022	500	Europe	Spain	Homo	Human	24	104884	High_w_GUNC	ERS11702732	38.247	-0.808	Yes
known	2	ancient	ERS11702741.bin.r.6	II	D		II-D	42.9	93.62	0	96.09	0.5	211	211_1	1423006	48542	g__RGIG7111;s__	Ancient	3	9	Velsko2022	200	Europe	The Netherlands	Homo	Human	52	48542	High_w_GUNC	ERS11702741	52.548	4.914	Yes
known	2	ancient	ERS11702742.bin.r.2	II	D		II-D	42.5	94.33	0	97.69	0.14	211	211_1	1520141	93474	g__RGIG7111;s__	Ancient	2	6	Velsko2022	200	Europe	The Netherlands	Homo	Human	39	93474	High_w_GUNC	ERS11702742	52.548	4.914	Yes
known	2	ancient	ERS11702742.bin.r.2	II	A		II-A	42.5	94.33	0	97.69	0.14	211	211_1	1520141	93474	g__RGIG7111;s__	Ancient	2	6	Velsko2022	200	Europe	The Netherlands	Homo	Human	39	93474	High_w_GUNC	ERS11702742	52.548	4.914	Yes
known	2	ancient	ERS11702746.bin.r.2	II	D		II-D	42.7	92.2	1.42	97.15	0.21	211	211_1	1335017	32428	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	66	32428	High_w_GUNC	ERS11702746	52.548	4.914	Yes
known	2	ancient	ERS11702747.bin.r.4	II	D		II-D	42.7	94.33	0	99.94	0.14	211	211_1	1438052	79261	g__RGIG7111;s__	Ancient	6	18	Velsko2022	200	Europe	The Netherlands	Homo	Human	32	79261	High_w_GUNC	ERS11702747	52.548	4.914	Yes
known	2	ancient	ERS11702748.bin.r.4	II	D		II-D	42.9	76.67	1.65	78.75	0.55	211	211_1	1112198	5259	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	252	5259	Med_w_GUNC	ERS11702748	52.548	4.914	Yes
known	2	ancient	ERS11702749.bin.r.1	II	D		II-D	42.3	94.33	0.71	99.86	0.15	211	211_1	1559800	103450	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	46	103450	High_w_GUNC	ERS11702749	52.548	4.914	Yes
known	1	ancient	ERS11702749.bin.r.1	I	C		I-C	42.3	94.33	0.71	99.86	0.15	211	211_1	1559800	103450	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	46	103450	High_w_GUNC	ERS11702749	52.548	4.914	Yes
known	1	ancient	ERS11702750.bin.r.2	I	C		I-C	42.1	94.33	0	99.46	0.18	211	211_1	1513289	97088	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	49	97088	High_w_GUNC	ERS11702750	52.548	4.914	Yes
known	2	ancient	ERS11702750.bin.r.2	II	D		II-D	42.1	94.33	0	99.46	0.18	211	211_1	1513289	97088	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	49	97088	High_w_GUNC	ERS11702750	52.548	4.914	Yes
known	2	ancient	ERS11702751.bin.r.3	II	D		II-D	42.7	92.91	0.71	97.33	0.43	211	211_1	1366678	97471	g__RGIG7111;s__	Ancient	2	6	Velsko2022	200	Europe	The Netherlands	Homo	Human	33	97471	High_w_GUNC	ERS11702751	52.548	4.914	Yes
known	2	ancient	ERS11702754.bin.r.3	II	D		II-D	42.6	91.84	0.71	94.15	0.13	211	211_1	1391732	25333	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	92	25333	High_w_GUNC	ERS11702754	52.548	4.914	Yes
known	2	ancient	ERS11702757.bin.r.2	II	A		II-A	42.4	92.2	1.42	94.32	2.07	211	211_1	1446270	103352	g__RGIG7111;s__	Ancient	6	21	Velsko2022	200	Europe	The Netherlands	Homo	Human	33	103352	High_w_GUNC	ERS11702757	52.548	4.914	Yes
known	2	ancient	ERS11702757.bin.r.2	II	D		II-D	42.4	92.2	1.42	94.32	2.07	211	211_1	1446270	103352	g__RGIG7111;s__	Ancient	6	21	Velsko2022	200	Europe	The Netherlands	Homo	Human	33	103352	High_w_GUNC	ERS11702757	52.548	4.914	Yes
known	2	ancient	ERS11702758.bin.r.4	II	D		II-D	42.8	93.62	0	97.64	0.12	211	211_1	1449400	108417	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	The Netherlands	Homo	Human	25	108417	High_w_GUNC	ERS11702758	52.548	4.914	Yes
known	1	ancient	ERS11702758.bin.r.4	I	E		I-E	42.8	93.62	0	97.64	0.12	211	211_1	1449400	108417	g__RGIG7111;s__	Ancient	6	19	Velsko2022	200	Europe	The Netherlands	Homo	Human	25	108417	High_w_GUNC	ERS11702758	52.548	4.914	Yes
known	2	ancient	ERS11702762.bin.r.1	II	A		II-A	42.5	94.33	1.77	98.93	0.14	211	211_1	1420586	28994	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	84	28994	High_w_GUNC	ERS11702762	52.548	4.914	Yes
known	2	ancient	ERS11702762.bin.r.1	II	D		II-D	42.5	94.33	1.77	98.93	0.14	211	211_1	1420586	28994	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	84	28994	High_w_GUNC	ERS11702762	52.548	4.914	Yes
known	2	ancient	ERS11702763.bin.r.2	II	D		II-D	42.6	92.91	0	98.72	0.05	211	211_1	1417754	104517	g__RGIG7111;s__	Ancient	2	3	Velsko2022	200	Europe	The Netherlands	Homo	Human	25	104517	High_w_GUNC	ERS11702763	52.548	4.914	Yes
known	2	ancient	ERS11702766.bin.r.1	II	D		II-D	42.7	89.29	1.65	93.61	0.09	211	211_1	1392867	21359	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	98	21359	Med_w_GUNC	ERS11702766	52.548	4.914	Yes
known	1	ancient	ERS11702767.bin.r.1	I	C		I-C	42.4	94.33	0.71	99.39	0.13	211	211_1	1597033	125097	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	45	125097	High_w_GUNC	ERS11702767	52.548	4.914	Yes
known	2	ancient	ERS11702767.bin.r.1	II	D		II-D	42.4	94.33	0.71	99.39	0.13	211	211_1	1597033	125097	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	45	125097	High_w_GUNC	ERS11702767	52.548	4.914	Yes
known	2	ancient	ERS11702768.bin.r.3	II	D		II-D	42.7	93.26	0.02	96.92	0.68	211	211_1	1325469	29097	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	68	29097	High_w_GUNC	ERS11702768	52.548	4.914	Yes
known	2	ancient	ERS11702769.bin.r.4	II	D		II-D	42.9	93.62	0	99.41	0.08	211	211_1	1445832	97331	g__RGIG7111;s__	Ancient	2	4	Velsko2022	200	Europe	The Netherlands	Homo	Human	48	97331	High_w_GUNC	ERS11702769	52.548	4.914	Yes
known	2	ancient	ERS11702770.bin.r.4	II	D		II-D	42.9	87.94	0	96.17	2.47	211	211_1	1266674	21692	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	92	21692	Med_w_GUNC	ERS11702770	52.548	4.914	Yes
known	2	ancient	ERS11702771.bin.r.4	II	D		II-D	42.7	92.91	0	97.08	0.12	211	211_1	1356509	31913	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	68	31913	High_w_GUNC	ERS11702771	52.548	4.914	Yes
known	2	ancient	ERS11702772.bin.r.2	II	D		II-D	42.9	92.2	0	98.84	0.06	211	211_1	1328520	52923	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	51	52923	High_w_GUNC	ERS11702772	52.548	4.914	Yes
known	2	ancient	ERS11702774.bin.r.6	II	D		II-D	42.8	94.33	0	99.85	0.38	211	211_1	1509845	99039	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	50	99039	High_w_GUNC	ERS11702774	52.548	4.914	Yes
known	1	ancient	ERS11702774.bin.r.6	I	C		I-C	42.8	94.33	0	99.85	0.38	211	211_1	1509845	99039	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	50	99039	High_w_GUNC	ERS11702774	52.548	4.914	Yes
known	1	ancient	ERS11702775.bin.r.6	I	E		I-E	42.7	93.62	0	98.44	0.13	211	211_1	1384606	90640	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	34	90640	High_w_GUNC	ERS11702775	52.548	4.914	Yes
known	2	ancient	ERS11702775.bin.r.6	II	D		II-D	42.7	93.62	0	98.44	0.13	211	211_1	1384606	90640	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	34	90640	High_w_GUNC	ERS11702775	52.548	4.914	Yes
known	2	ancient	ERS11702776.bin.r.2	II	D		II-D	42.5	93.62	0	99.93	0.1	211	211_1	1385543	104627	g__RGIG7111;s__	Ancient	3	9	Velsko2022	200	Europe	The Netherlands	Homo	Human	27	104627	High_w_GUNC	ERS11702776	52.548	4.914	Yes
known	2	ancient	ERS11702777.bin.r.3	II	D		II-D	42.6	94.33	0.71	98.08	0.47	211	211_1	1406489	42753	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	72	42753	High_w_GUNC	ERS11702777	52.548	4.914	Yes
known	2	ancient	ERS11702777.bin.r.3	II	A		II-A	42.6	94.33	0.71	98.08	0.47	211	211_1	1406489	42753	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	72	42753	High_w_GUNC	ERS11702777	52.548	4.914	Yes
known	2	ancient	ERS11702779.bin.r.3	II	D		II-D	42.5	94.18	0	99.57	1.48	211	211_1	1421716	43755	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	83	43755	High_w_GUNC	ERS11702779	52.548	4.914	Yes
known	1	ancient	ERS11702779.bin.r.3	I	C		I-C	42.5	94.18	0	99.57	1.48	211	211_1	1421716	43755	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	83	43755	High_w_GUNC	ERS11702779	52.548	4.914	Yes
known	2	ancient	ERS11702780.bin.r.5	II	D		II-D	42.5	94.33	0	98.15	0.18	211	211_1	1435394	82716	g__RGIG7111;s__	Ancient	2	4	Velsko2022	200	Europe	The Netherlands	Homo	Human	52	82716	High_w_GUNC	ERS11702780	52.548	4.914	Yes
known	2	ancient	ERS11702781.bin.r.3	II	D		II-D	42.5	93.62	0	97.7	0.06	211	211_1	1447068	99121	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	59	99121	High_w_GUNC	ERS11702781	52.548	4.914	Yes
known	1	ancient	ERS11702781.bin.r.3	I	E		I-E	42.5	93.62	0	97.7	0.06	211	211_1	1447068	99121	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	59	99121	High_w_GUNC	ERS11702781	52.548	4.914	Yes
known	2	ancient	ERS11702782.bin.r.1	II	A		II-A	42.7	94.33	0.71	99.23	0.54	211	211_1	1370409	33737	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	68	33737	High_w_GUNC	ERS11702782	52.548	4.914	Yes
known	2	ancient	ERS11702782.bin.r.1	II	D		II-D	42.7	94.33	0.71	99.23	0.54	211	211_1	1370409	33737	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	68	33737	High_w_GUNC	ERS11702782	52.548	4.914	Yes
known	2	ancient	ERS11702783.bin.r.2	II	D		II-D	42.8	92.2	0	98.69	0.12	211	211_1	1394025	32980	g__RGIG7111;s__	Ancient	4	11	Velsko2022	200	Europe	The Netherlands	Homo	Human	73	32980	High_w_GUNC	ERS11702783	52.548	4.914	Yes
known	2	ancient	ERS11702789.bin.r.6	II	D		II-D	42.5	94.33	0.71	98.44	0.17	211	211_1	1436802	93529	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	39	93529	High_w_GUNC	ERS11702789	52.548	4.914	Yes
known	1	ancient	ERS11702789.bin.r.6	I	E		I-E	42.5	94.33	0.71	98.44	0.17	211	211_1	1436802	93529	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	39	93529	High_w_GUNC	ERS11702789	52.548	4.914	Yes
known	2	ancient	ERS11702790.bin.r.1	II	D		II-D	42.3	93.62	0	97.31	0.14	211	211_1	1442143	61216	g__RGIG7111;s__	Ancient	6	20	Velsko2022	200	Europe	The Netherlands	Homo	Human	44	61216	High_w_GUNC	ERS11702790	52.548	4.914	Yes
known	2	ancient	ERS11702793.bin.r.5	II	D		II-D	42.5	94.33	0	100	0.16	211	211_1	1367796	103373	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	27	103373	High_w_GUNC	ERS11702793	52.548	4.914	Yes
known	1	ancient	ERS11702793.bin.r.5	I	E		I-E	42.5	94.33	0	100	0.16	211	211_1	1367796	103373	g__RGIG7111;s__	Ancient	4	13	Velsko2022	200	Europe	The Netherlands	Homo	Human	27	103373	High_w_GUNC	ERS11702793	52.548	4.914	Yes
known	2	ancient	ERS11702795.bin.r.3	II	A		II-A	42.7	92.91	1.77	96.77	0.1	211	211_1	1380837	17919	g__RGIG7111;s__	Ancient	3	7	Velsko2022	200	Europe	The Netherlands	Homo	Human	124	17919	High_w_GUNC	ERS11702795	52.548	4.914	Yes
known	2	ancient	ERS11702795.bin.r.3	II	D		II-D	42.7	92.91	1.77	96.77	0.1	211	211_1	1380837	17919	g__RGIG7111;s__	Ancient	3	7	Velsko2022	200	Europe	The Netherlands	Homo	Human	124	17919	High_w_GUNC	ERS11702795	52.548	4.914	Yes
known	2	ancient	ERS11702799.bin.r.1	II	D		II-D	42.5	94.33	0.71	100	0.83	211	211_1	1393569	104034	g__RGIG7111;s__	Ancient	4	11	Velsko2022	200	Europe	The Netherlands	Homo	Human	31	104034	High_w_GUNC	ERS11702799	52.548	4.914	Yes
known	2	ancient	ERS11702800.bin.r.3	II	D		II-D	42.7	93.62	1.09	98.47	0.11	211	211_1	1358295	30817	g__RGIG7111;s__	Ancient	2	6	Velsko2022	200	Europe	The Netherlands	Homo	Human	74	30817	High_w_GUNC	ERS11702800	52.548	4.914	Yes
known	2	ancient	ERS11702801.bin.r.6	II	D		II-D	42.5	94.33	1.06	100	0.49	211	211_1	1362381	50105	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	40	50105	High_w_GUNC	ERS11702801	52.548	4.914	Yes
known	2	ancient	ERS11702802.bin.r.1	II	D		II-D	42.1	95.04	0	99.24	0.49	211	211_1	1524874	82721	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	51	82721	High_w_GUNC	ERS11702802	52.548	4.914	Yes
known	2	ancient	ERS11702802.bin.r.1	II	A		II-A	42.1	95.04	0	99.24	0.49	211	211_1	1524874	82721	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	51	82721	High_w_GUNC	ERS11702802	52.548	4.914	Yes
known	2	ancient	ERS11702803.bin.r.1	II	D		II-D	43	54.58	0.53	51.84	1.35	211	211_1	716190	1799	g__RGIG7111;s__	Ancient	2	5	Velsko2022	200	Europe	The Netherlands	Homo	Human	399	1799	Med_w_GUNC	ERS11702803	52.548	4.914	Yes
known	2	ancient	ERS11702805.bin.r.1	II	A		II-A	42.5	94.33	0.71	99.2	0.48	211	211_1	1519057	97029	g__RGIG7111;s__	Ancient	3	9	Velsko2022	200	Europe	The Netherlands	Homo	Human	45	97029	High_w_GUNC	ERS11702805	52.548	4.914	Yes
known	2	ancient	ERS11702805.bin.r.1	II	D		II-D	42.5	94.33	0.71	99.2	0.48	211	211_1	1519057	97029	g__RGIG7111;s__	Ancient	3	9	Velsko2022	200	Europe	The Netherlands	Homo	Human	45	97029	High_w_GUNC	ERS11702805	52.548	4.914	Yes
known	2	ancient	ERS11702806.bin.r.2	II	A		II-A	42.6	93.62	0	99.3	0.13	211	211_1	1419152	52075	g__RGIG7111;s__	Ancient	3	8	Velsko2022	200	Europe	The Netherlands	Homo	Human	43	52075	High_w_GUNC	ERS11702806	52.548	4.914	Yes
known	2	ancient	ERS11702806.bin.r.2	II	D		II-D	42.6	93.62	0	99.3	0.13	211	211_1	1419152	52075	g__RGIG7111;s__	Ancient	3	8	Velsko2022	200	Europe	The Netherlands	Homo	Human	43	52075	High_w_GUNC	ERS11702806	52.548	4.914	Yes
known	2	ancient	ERS11702808.bin.r.1	II	D		II-D	42.7	92.91	0	98.9	0.1	211	211_1	1323076	66802	g__RGIG7111;s__	Ancient	4	11	Velsko2022	200	Europe	The Netherlands	Homo	Human	38	66802	High_w_GUNC	ERS11702808	52.548	4.914	Yes
known	2	ancient	ERS11702809.bin.r.4	II	D		II-D	42.7	92.91	0	99.85	0.07	211	211_1	1363081	103913	g__RGIG7111;s__	Ancient	4	11	Velsko2022	200	Europe	The Netherlands	Homo	Human	32	103913	High_w_GUNC	ERS11702809	52.548	4.914	Yes
known	2	ancient	ERS11702810.bin.r.5	II	D		II-D	42.7	92.91	0	98.43	0.06	211	211_1	1334365	86441	g__RGIG7111;s__	Ancient	6	21	Velsko2022	200	Europe	The Netherlands	Homo	Human	32	86441	High_w_GUNC	ERS11702810	52.548	4.914	Yes
known	2	ancient	ERS11702812.bin.r.1	II	D		II-D	42.4	94.33	0.71	99.7	0.81	211	211_1	1547466	55720	g__RGIG7111;s__	Ancient	2	2	Velsko2022	200	Europe	The Netherlands	Homo	Human	61	55720	High_w_GUNC	ERS11702812	52.548	4.914	Yes
known	2	ancient	ERS11702814.bin.r.2	II	D		II-D	42.9	92.2	0.71	98.73	0.55	211	211_1	1364134	51302	g__RGIG7111;s__	Ancient	3	8	Velsko2022	200	Europe	The Netherlands	Homo	Human	47	51302	High_w_GUNC	ERS11702814	52.548	4.914	Yes
known	2	ancient	ERS11702814.bin.r.2	II	A		II-A	42.9	92.2	0.71	98.73	0.55	211	211_1	1364134	51302	g__RGIG7111;s__	Ancient	3	8	Velsko2022	200	Europe	The Netherlands	Homo	Human	47	51302	High_w_GUNC	ERS11702814	52.548	4.914	Yes
known	1	ancient	ERS2985743.bin.r.17	I	E		I-E	42.4	94.33	0.75	100	0.36	211	211_1	1430003	62593	g__RGIG7111;s__	Ancient	3	10	Velsko2019	200	Europe	England	Homo	Human	39	62593	High_w_GUNC	ERS2985743	51.752	-1.257	Yes
known	2	ancient	ERS2985743.bin.r.17	II	D		II-D	42.4	94.33	0.75	100	0.36	211	211_1	1430003	62593	g__RGIG7111;s__	Ancient	3	10	Velsko2019	200	Europe	England	Homo	Human	39	62593	High_w_GUNC	ERS2985743	51.752	-1.257	Yes
known	2	ancient	ERS2985744.bin.r.1	II	D		II-D	42.6	94.33	0	99.3	0.09	211	211_1	1450868	103694	g__RGIG7111;s__	Ancient	2	3	Velsko2019	200	Europe	England	Homo	Human	28	103694	High_w_GUNC	ERS2985744	51.752	-1.257	Yes
known	2	ancient	ERS2985748.bin.r.1	II	A		II-A	42.4	94.33	1.42	100	0.45	211	211_1	1401214	93649	g__RGIG7111;s__	Ancient	4	13	Velsko2019	200	Europe	England	Homo	Human	33	93649	High_w_GUNC	ERS2985748	51.752	-1.257	Yes
known	2	ancient	ERS2985748.bin.r.1	II	D		II-D	42.4	94.33	1.42	100	0.45	211	211_1	1401214	93649	g__RGIG7111;s__	Ancient	4	13	Velsko2019	200	Europe	England	Homo	Human	33	93649	High_w_GUNC	ERS2985748	51.752	-1.257	Yes
known	2	ancient	ERS2985751.bin.r.3	II	D		II-D	42.8	91.49	0.02	100	0.1	211	211_1	1304138	48133	g__RGIG7111;s__	Ancient	3	8	Velsko2019	200	Europe	England	Homo	Human	45	48133	High_w_GUNC	ERS2985751	51.752	-1.257	Yes
known	2	ancient	ERS2985756.bin.r.9	II	A		II-A	42.4	94.33	0	97.69	0.1	211	211_1	1488252	115295	g__RGIG7111;s__	Ancient	2	6	Velsko2019	200	Europe	England	Homo	Human	27	115295	High_w_GUNC	ERS2985756	51.752	-1.257	Yes
known	2	ancient	ERS2985756.bin.r.9	II	D		II-D	42.4	94.33	0	97.69	0.1	211	211_1	1488252	115295	g__RGIG7111;s__	Ancient	2	6	Velsko2019	200	Europe	England	Homo	Human	27	115295	High_w_GUNC	ERS2985756	51.752	-1.257	Yes
known	1	ancient	ERS2985759.bin.r.9	I	E		I-E	42.7	92.91	0	98.84	0.08	211	211_1	1359914	127010	g__RGIG7111;s__	Ancient	6	21	Velsko2019	200	Europe	England	Homo	Human	24	127010	High_w_GUNC	ERS2985759	51.752	-1.257	Yes
known	2	ancient	ERS2985759.bin.r.9	II	D		II-D	42.7	92.91	0	98.84	0.08	211	211_1	1359914	127010	g__RGIG7111;s__	Ancient	6	21	Velsko2019	200	Europe	England	Homo	Human	24	127010	High_w_GUNC	ERS2985759	51.752	-1.257	Yes
known	2	ancient	ERS2985766.bin.r.2	II	D		II-D	42.3	88.65	0.02	95.33	0.6	211	211_1	1399579	114660	g__RGIG7111;s__	Ancient	2	6	Velsko2019	200	Europe	England	Homo	Human	45	114660	Med_w_GUNC	ERS2985766	51.752	-1.257	Yes
known	1	ancient	ERS2985766.bin.r.2	I	C		I-C	42.3	88.65	0.02	95.33	0.6	211	211_1	1399579	114660	g__RGIG7111;s__	Ancient	2	6	Velsko2019	200	Europe	England	Homo	Human	45	114660	Med_w_GUNC	ERS2985766	51.752	-1.257	Yes
known	2	ancient	ERS2985769.bin.r.4	II	D		II-D	42.5	92.2	0	97.74	0.22	211	211_1	1491552	83987	g__RGIG7111;s__	Ancient	6	21	Velsko2019	200	Europe	England	Homo	Human	46	83987	High_w_GUNC	ERS2985769	51.752	-1.257	Yes
known	2	ancient	ERS2985769.bin.r.4	II	A		II-A	42.5	92.2	0	97.74	0.22	211	211_1	1491552	83987	g__RGIG7111;s__	Ancient	6	21	Velsko2019	200	Europe	England	Homo	Human	46	83987	High_w_GUNC	ERS2985769	51.752	-1.257	Yes
known	2	ancient	ERS2985770.bin.r.2	II	A		II-A	42.7	93.62	0.02	99.41	0.16	211	211_1	1386114	101570	g__RGIG7111;s__	Ancient	3	8	Velsko2019	200	Europe	England	Homo	Human	27	101570	High_w_GUNC	ERS2985770	51.752	-1.257	Yes
known	2	ancient	ERS2985770.bin.r.2	II	D		II-D	42.7	93.62	0.02	99.41	0.16	211	211_1	1386114	101570	g__RGIG7111;s__	Ancient	3	8	Velsko2019	200	Europe	England	Homo	Human	27	101570	High_w_GUNC	ERS2985770	51.752	-1.257	Yes
known	2	ancient	ERS2985773.bin.r.2	II	D		II-D	42.4	93.62	2.13	97.64	1.41	211	211_1	1484509	109731	g__RGIG7111;s__	Ancient	4	11	Velsko2019	200	Europe	England	Homo	Human	34	109731	High_w_GUNC	ERS2985773	51.752	-1.257	Yes
